rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,493,0.1,8,34,random,-1,4,2,2,2,40,2,0,3,2,1,10,edgeCount
199,100,495,0.1,7,29,random,-1,5,3,2,3,0,2,0,3,2,1,0,edgeCount
198,100,518,0.1,8,34,random,-1,4,6,3,1,0,11,8,11,11,8,0,edgeCount
197,100,504,0.1,12,53,random,-1,3,4,3,0,10,3,0,3,3,0,2,edgeCount
196,100,484,0.1,5,19,random,-1,3,5,3,0,40,3,0,3,3,0,8,edgeCount
195,100,494,0.1,7,29,random,-1,4,7,3,1,0,3,0,3,3,0,0,edgeCount
194,100,474,0.1,9,38,random,-1,3,5,3,0,0,3,0,3,3,0,0,edgeCount
193,100,477,0.1,10,43,random,-1,3,3,3,0,0,7,4,7,7,4,0,edgeCount
192,100,436,0.1,9,38,random,-1,3,3,2,1,0,2,0,3,2,1,0,edgeCount
191,100,517,0.1,8,34,random,-1,3,6,2,1,0,2,0,3,2,1,0,edgeCount
190,100,518,0.1,5,19,random,-1,3,4,2,1,0,2,0,3,2,1,0,edgeCount
189,100,471,0.1,8,34,random,-1,4,3,2,2,10,2,0,3,2,1,2,edgeCount
188,100,489,0.1,9,38,random,-1,4,6,2,2,22,2,0,7,2,5,4,edgeCount
187,100,508,0.1,6,24,random,-1,3,2,2,1,70,2,0,3,2,1,12,edgeCount
186,100,521,0.1,9,38,random,-1,3,8,2,1,36,2,0,3,2,1,6,edgeCount
185,100,508,0.1,7,29,random,-1,4,5,2,2,0,2,0,7,2,5,0,edgeCount
184,100,526,0.1,9,38,random,-1,3,5,2,1,58,2,0,3,2,1,12,edgeCount
183,100,494,0.1,10,43,random,-1,4,5,3,1,8,3,0,3,3,0,2,edgeCount
182,100,499,0.1,7,29,random,-1,4,5,2,2,66,3,1,3,3,1,12,edgeCount
181,100,495,0.1,8,34,random,-1,10,10,3,7,0,3,0,3,3,0,0,edgeCount
180,100,481,0.1,8,34,random,-1,6,5,3,3,0,3,0,3,3,0,0,edgeCount
179,100,514,0.1,5,19,random,-1,2,2,2,0,0,2,0,3,2,1,0,edgeCount
178,100,498,0.1,9,38,random,-1,3,3,2,1,0,2,0,3,2,1,0,edgeCount
177,100,481,0.1,8,34,random,-1,11,5,3,8,68,3,0,3,3,0,14,edgeCount
176,100,499,0.1,10,43,random,-1,3,5,2,1,16,4,2,3,4,1,6,edgeCount
175,100,465,0.1,7,29,random,-1,4,4,3,1,96,3,0,3,3,0,20,edgeCount
174,100,460,0.1,7,29,random,-1,3,11,2,1,50,2,0,3,2,1,12,edgeCount
173,100,470,0.1,3,10,random,-1,4,4,3,1,60,5,2,5,5,2,20,edgeCount
172,100,489,0.1,5,19,random,-1,2,6,2,0,0,2,0,3,2,1,0,edgeCount
171,100,472,0.1,8,34,random,-1,4,4,3,1,18,7,4,7,7,4,4,edgeCount
170,100,538,0.1,8,34,random,-1,4,4,2,2,0,2,0,3,2,1,0,edgeCount
169,100,519,0.1,10,43,random,-1,4,3,3,1,0,3,0,3,3,0,0,edgeCount
168,100,474,0.1,12,53,random,-1,8,6,2,6,0,2,0,3,2,1,0,edgeCount
167,100,469,0.1,11,48,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
166,100,516,0.1,6,24,random,-1,4,3,3,1,78,3,0,3,3,0,14,edgeCount
165,100,518,0.1,9,38,random,-1,3,9,2,1,22,2,0,3,2,1,4,edgeCount
164,100,499,0.1,6,24,random,-1,4,5,3,1,60,3,0,3,3,0,12,edgeCount
163,100,490,0.1,5,19,random,-1,2,5,2,0,8,2,0,3,2,1,2,edgeCount
162,100,517,0.1,10,43,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
161,100,488,0.1,7,29,random,-1,4,3,3,1,0,3,0,3,3,0,0,edgeCount
160,100,486,0.1,8,34,random,-1,4,4,2,2,0,2,0,5,2,3,0,edgeCount
159,100,476,0.1,7,29,random,-1,4,6,2,2,40,2,0,3,2,1,8,edgeCount
158,100,504,0.1,6,24,random,-1,4,7,2,2,0,2,0,3,2,1,0,edgeCount
157,100,499,0.1,8,34,random,-1,4,6,3,1,0,7,4,7,7,4,0,edgeCount
156,100,492,0.1,9,38,random,-1,10,5,3,7,0,3,0,3,3,0,0,edgeCount
155,100,511,0.1,11,48,random,-1,4,3,2,2,0,4,2,3,4,1,0,edgeCount
154,100,441,0.1,8,34,random,-1,4,3,3,1,0,3,0,3,3,0,0,edgeCount
153,100,469,0.1,12,53,random,-1,6,3,2,4,22,2,0,2,2,0,6,edgeCount
152,100,503,0.1,7,29,random,-1,5,4,3,2,20,3,0,3,3,0,4,edgeCount
151,100,489,0.1,7,29,random,-1,3,2,2,1,32,2,0,2,2,0,6,edgeCount
150,100,466,0.1,5,19,random,-1,2,2,2,0,58,2,0,3,2,1,12,edgeCount
149,100,518,0.1,6,24,random,-1,4,3,2,2,98,2,0,2,2,0,18,edgeCount
148,100,472,0.1,7,29,random,-1,9,4,3,6,10,3,0,3,3,0,2,edgeCount
147,100,523,0.1,7,29,random,-1,4,5,3,1,0,3,0,3,3,0,0,edgeCount
146,100,530,0.1,10,43,random,-1,3,6,3,0,0,3,0,3,3,0,0,edgeCount
145,100,488,0.1,8,34,random,-1,9,7,3,6,0,5,2,5,5,2,0,edgeCount
144,100,511,0.1,7,29,random,-1,4,6,2,2,0,2,0,3,2,1,0,edgeCount
143,100,505,0.1,7,29,random,-1,14,4,3,11,0,3,0,3,3,0,0,edgeCount
142,100,473,0.1,9,38,random,-1,3,3,3,0,0,5,2,3,5,0,0,edgeCount
