rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,50,185,0.15,4,,clustered,0.6;-0.3,8,4,3,5,30,3,0,3,3,0,8,edgeCount
999,50,165,0.15,4,,clustered,0.6;-0.3,9,17,4,5,0,10,6,10,10,6,0,edgeCount
998,50,188,0.15,8,,clustered,0.6;-0.3,3,3,3,0,26,5,2,3,5,0,6,edgeCount
997,50,197,0.15,5,,clustered,0.6;-0.3,31,33,3,28,60,-1,-4,-1,-1,-4,16,edgeCount
996,50,172,0.15,4,,clustered,0.6;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
995,50,171,0.15,4,,clustered,0.6;-0.3,11,10,3,8,12,-1,-4,18,18,15,4,edgeCount
994,50,188,0.15,5,,clustered,0.6;-0.3,23,9,3,20,42,7,4,9,9,6,12,edgeCount
993,50,194,0.15,6,,clustered,0.6;-0.3,4,5,3,1,0,3,0,3,3,0,0,edgeCount
992,50,187,0.15,6,,clustered,0.6;-0.3,19,15,3,16,8,5,2,3,5,0,2,edgeCount
991,50,169,0.15,8,,clustered,0.6;-0.3,7,9,3,4,0,3,0,3,3,0,0,edgeCount
990,50,205,0.15,4,,clustered,0.6;-0.3,2,24,2,0,38,2,0,4,2,2,10,edgeCount
989,50,184,0.15,6,,clustered,0.6;-0.3,2,2,2,0,0,6,4,12,6,10,0,edgeCount
988,50,186,0.15,5,,clustered,0.6;-0.3,3,2,2,1,6,2,0,2,2,0,2,edgeCount
987,50,154,0.15,5,,clustered,0.6;-0.3,3,8,3,0,6,5,2,3,5,0,2,edgeCount
986,50,182,0.15,3,,clustered,0.6;-0.3,3,11,3,0,0,3,0,3,3,0,0,edgeCount
985,50,177,0.15,8,,clustered,0.6;-0.3,28,5,3,25,16,5,2,7,9,4,4,edgeCount
984,50,166,0.15,2,,clustered,0.6;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
983,50,191,0.15,10,,clustered,0.6;-0.3,3,8,3,0,0,11,8,7,11,4,0,edgeCount
982,50,178,0.15,4,,clustered,0.6;-0.3,10,10,2,8,0,2,0,8,2,6,0,edgeCount
981,50,204,0.15,10,,clustered,0.6;-0.3,54,26,2,52,24,2,0,8,2,6,8,edgeCount
980,50,183,0.15,5,,clustered,0.6;-0.3,10,11,4,6,0,16,12,16,16,12,0,edgeCount
979,50,183,0.15,8,,clustered,0.6;-0.3,13,9,3,10,0,21,18,21,21,18,0,edgeCount
978,50,163,0.15,4,,clustered,0.6;-0.3,3,4,3,0,22,13,10,13,3,10,8,edgeCount
977,50,184,0.15,5,,clustered,0.6;-0.3,3,5,3,0,0,5,2,7,7,4,0,edgeCount
976,50,182,0.15,4,,clustered,0.6;-0.3,15,5,3,12,0,15,12,15,15,12,0,edgeCount
975,50,201,0.15,8,,clustered,0.6;-0.3,19,15,3,16,18,9,6,9,21,6,4,edgeCount
974,50,200,0.15,6,,clustered,0.6;-0.3,4,8,3,1,0,20,17,20,20,17,0,edgeCount
973,50,191,0.15,9,,clustered,0.6;-0.3,12,23,3,9,2,24,21,20,20,17,2,edgeCount
972,50,152,0.15,2,,clustered,0.6;-0.3,6,6,4,2,0,-1,-5,-1,-1,-5,0,edgeCount
971,50,178,0.15,6,,clustered,0.6;-0.3,3,10,3,0,0,15,12,15,15,12,0,edgeCount
970,50,184,0.15,5,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
969,50,197,0.15,10,,clustered,0.6;-0.3,8,2,2,6,0,4,2,16,4,14,0,edgeCount
968,50,190,0.15,5,,clustered,0.6;-0.3,30,5,4,26,0,-1,-5,-1,-1,-5,0,edgeCount
967,50,192,0.15,5,,clustered,0.6;-0.3,8,6,3,5,0,14,11,14,14,11,0,edgeCount
966,50,196,0.15,5,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
965,50,178,0.15,3,,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
964,50,166,0.15,3,,clustered,0.6;-0.3,4,5,3,1,42,3,0,3,8,0,14,edgeCount
963,50,200,0.15,9,,clustered,0.6;-0.3,13,26,2,11,26,2,0,12,2,10,6,edgeCount
962,50,182,0.15,6,,clustered,0.6;-0.3,3,2,2,1,0,9,7,2,2,0,0,edgeCount
961,50,173,0.15,4,,clustered,0.6;-0.3,9,9,3,6,8,6,3,6,6,3,2,edgeCount
960,50,191,0.15,5,,clustered,0.6;-0.3,4,3,2,2,28,2,0,2,2,0,8,edgeCount
959,50,179,0.15,4,,clustered,0.6;-0.3,5,9,3,2,8,7,4,11,11,8,2,edgeCount
958,50,153,0.15,5,,clustered,0.6;-0.3,4,6,3,1,4,5,2,3,5,0,2,edgeCount
957,50,181,0.15,5,,clustered,0.6;-0.3,21,5,3,18,0,11,8,11,11,8,0,edgeCount
956,50,220,0.15,10,,clustered,0.6;-0.3,20,5,3,17,0,5,2,5,7,2,0,edgeCount
