rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,200,4,4,0,random,-1,5,7,4,1,0,4,0,4,4,0,0,edgeCount
199,100,200,4,4,0,random,-1,7,8,5,2,0,5,0,5,5,0,0,edgeCount
198,100,200,4,4,0,random,-1,6,3,3,3,0,3,0,3,3,0,0,edgeCount
197,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
196,100,200,4,4,0,random,-1,6,8,4,2,0,4,0,4,4,0,0,edgeCount
195,100,200,4,4,0,random,-1,5,5,2,3,0,2,0,2,2,0,0,edgeCount
194,100,200,4,4,0,random,-1,6,12,5,1,0,5,0,5,5,0,0,edgeCount
193,100,200,4,4,0,random,-1,6,6,5,1,0,5,0,5,5,0,0,edgeCount
192,100,200,4,4,0,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
191,100,200,4,4,0,random,-1,5,11,4,1,0,4,0,4,4,0,0,edgeCount
190,100,200,4,4,0,random,-1,6,7,3,3,0,3,0,3,3,0,0,edgeCount
189,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
188,100,200,4,4,0,random,-1,6,12,2,4,0,2,0,2,2,0,0,edgeCount
187,100,200,4,4,0,random,-1,6,7,4,2,0,4,0,4,4,0,0,edgeCount
186,100,200,4,4,0,random,-1,6,8,4,2,0,4,0,4,4,0,0,edgeCount
185,100,200,4,4,0,random,-1,5,4,4,1,0,4,0,4,4,0,0,edgeCount
184,100,200,4,4,0,random,-1,6,5,4,2,0,4,0,4,4,0,0,edgeCount
183,100,200,4,4,0,random,-1,4,6,3,1,0,3,0,3,3,0,0,edgeCount
182,100,200,4,4,0,random,-1,5,2,2,3,0,2,0,2,2,0,0,edgeCount
181,100,200,4,4,0,random,-1,5,3,3,2,0,3,0,3,3,0,0,edgeCount
180,100,200,4,4,0,random,-1,5,13,4,1,0,4,0,4,4,0,0,edgeCount
179,100,200,4,4,0,random,-1,7,4,4,3,0,4,0,4,4,0,0,edgeCount
178,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
177,100,200,4,4,0,random,-1,5,6,3,2,0,3,0,3,3,0,0,edgeCount
176,100,200,4,4,0,random,-1,5,8,3,2,0,3,0,3,3,0,0,edgeCount
175,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
174,100,200,4,4,0,random,-1,4,6,4,0,0,4,0,4,4,0,0,edgeCount
173,100,200,4,4,0,random,-1,5,6,4,1,0,4,0,4,4,0,0,edgeCount
172,100,200,4,4,0,random,-1,6,7,4,2,0,4,0,4,4,0,0,edgeCount
171,100,200,4,4,0,random,-1,6,5,4,2,0,4,0,4,4,0,0,edgeCount
170,100,200,4,4,0,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
169,100,200,4,4,0,random,-1,5,4,4,1,0,4,0,4,4,0,0,edgeCount
168,100,200,4,4,0,random,-1,5,19,5,0,0,5,0,5,5,0,0,edgeCount
167,100,200,4,4,0,random,-1,5,8,4,1,0,4,0,4,4,0,0,edgeCount
166,100,200,4,4,0,random,-1,6,7,4,2,0,4,0,4,4,0,0,edgeCount
165,100,200,4,4,0,random,-1,6,7,3,3,0,3,0,3,3,0,0,edgeCount
164,100,200,4,4,0,random,-1,7,7,3,4,0,3,0,3,3,0,0,edgeCount
163,100,200,4,4,0,random,-1,5,13,4,1,0,4,0,4,4,0,0,edgeCount
162,100,200,4,4,0,random,-1,5,8,3,2,0,3,0,3,3,0,0,edgeCount
161,100,200,4,4,0,random,-1,7,4,4,3,0,4,0,4,4,0,0,edgeCount
160,100,200,4,4,0,random,-1,6,8,4,2,0,4,0,4,4,0,0,edgeCount
159,100,200,4,4,0,random,-1,6,5,5,1,0,5,0,5,5,0,0,edgeCount
158,100,200,4,4,0,random,-1,6,12,5,1,0,5,0,5,5,0,0,edgeCount
157,100,200,4,4,0,random,-1,7,5,5,2,0,5,0,5,5,0,0,edgeCount
156,100,200,4,4,0,random,-1,6,6,4,2,0,4,0,4,4,0,0,edgeCount
155,100,200,4,4,0,random,-1,4,4,2,2,0,2,0,2,2,0,0,edgeCount
154,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
153,100,200,4,4,0,random,-1,7,7,3,4,0,3,0,3,3,0,0,edgeCount
152,100,200,4,4,0,random,-1,7,3,3,4,0,3,0,3,3,0,0,edgeCount
151,100,200,4,4,0,random,-1,6,7,5,1,0,5,0,5,5,0,0,edgeCount
150,100,200,4,4,0,random,-1,5,4,4,1,0,4,0,4,4,0,0,edgeCount
149,100,200,4,4,0,random,-1,5,7,4,1,0,4,0,4,4,0,0,edgeCount
148,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
147,100,200,4,4,0,random,-1,5,5,4,1,0,4,0,4,4,0,0,edgeCount
146,100,200,4,4,0,random,-1,5,7,4,1,0,4,0,4,4,0,0,edgeCount
145,100,200,4,4,0,random,-1,5,3,3,2,0,3,0,3,3,0,0,edgeCount
144,100,200,4,4,0,random,-1,6,7,4,2,0,4,0,4,4,0,0,edgeCount
143,100,200,4,4,0,random,-1,5,3,3,2,0,3,0,3,3,0,0,edgeCount
142,100,200,4,4,0,random,-1,5,5,2,3,0,2,0,2,2,0,0,edgeCount
141,100,200,4,4,0,random,-1,5,6,4,1,0,4,0,4,4,0,0,edgeCount
140,100,200,4,4,0,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
139,100,200,4,4,0,random,-1,3,3,2,1,0,2,0,2,2,0,0,edgeCount
138,100,200,4,4,0,random,-1,5,6,4,1,0,4,0,4,4,0,0,edgeCount
137,100,200,4,4,0,random,-1,6,5,5,1,0,5,0,5,5,0,0,edgeCount
136,100,200,4,4,0,random,-1,6,7,4,2,0,4,0,4,4,0,0,edgeCount
135,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
134,100,200,4,4,0,random,-1,6,8,4,2,0,4,0,4,4,0,0,edgeCount
133,100,200,4,4,0,random,-1,6,8,4,2,0,4,0,4,4,0,0,edgeCount
132,100,200,4,4,0,random,-1,6,4,4,2,0,4,0,4,4,0,0,edgeCount
131,100,200,4,4,0,random,-1,5,7,4,1,0,4,0,4,4,0,0,edgeCount
130,100,200,4,4,0,random,-1,6,3,3,3,0,3,0,3,3,0,0,edgeCount
129,100,200,4,4,0,random,-1,5,8,3,2,0,3,0,3,3,0,0,edgeCount
128,100,200,4,4,0,random,-1,7,4,4,3,0,4,0,4,4,0,0,edgeCount
127,100,200,4,4,0,random,-1,6,3,3,3,0,3,0,3,3,0,0,edgeCount
126,100,200,4,4,0,random,-1,5,5,4,1,0,4,0,4,4,0,0,edgeCount
125,100,200,4,4,0,random,-1,5,4,4,1,0,4,0,4,4,0,0,edgeCount
124,100,200,4,4,0,random,-1,6,5,5,1,0,5,0,5,5,0,0,edgeCount
