rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,400,8,8,,clustered,0.7;-0.3,22,24,4,18,0,16,12,26,26,22,0,edgeCount
199,100,400,8,8,,clustered,0.7;-0.3,64,8,4,60,0,-1,-5,-1,-1,-5,0,edgeCount
198,100,400,8,8,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
197,100,400,8,8,,clustered,0.7;-0.3,29,17,4,25,0,-1,-5,-1,-1,-5,0,edgeCount
196,100,400,8,8,,clustered,0.7;-0.3,16,22,3,13,0,30,27,36,36,33,0,edgeCount
195,100,400,8,8,,clustered,0.7;-0.3,4,9,4,0,0,18,14,18,18,14,0,edgeCount
194,100,400,8,8,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
193,100,400,8,8,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
192,100,400,8,8,,clustered,0.7;-0.3,24,16,4,20,0,-1,-5,-1,-1,-5,0,edgeCount
191,100,400,8,8,,clustered,0.7;-0.3,69,23,4,65,0,-1,-5,-1,-1,-5,0,edgeCount
190,100,400,8,8,,clustered,0.7;-0.3,4,5,4,0,0,16,12,10,10,6,0,edgeCount
189,100,400,8,8,,clustered,0.7;-0.3,4,26,3,1,0,22,19,10,10,7,0,edgeCount
188,100,400,8,8,,clustered,0.7;-0.3,12,12,4,8,0,-1,-5,-1,-1,-5,0,edgeCount
187,100,400,8,8,,clustered,0.7;-0.3,14,8,4,10,0,-1,-5,-1,-1,-5,0,edgeCount
186,100,400,8,8,,clustered,0.7;-0.3,33,9,4,29,0,-1,-5,-1,-1,-5,0,edgeCount
185,100,400,8,8,,clustered,0.7;-0.3,19,67,5,14,0,-1,-6,-1,-1,-6,0,edgeCount
184,100,400,8,8,,clustered,0.7;-0.3,31,35,4,27,0,14,10,18,18,14,0,edgeCount
183,100,400,8,8,,clustered,0.7;-0.3,53,27,4,49,0,-1,-5,-1,-1,-5,0,edgeCount
182,100,400,8,8,,clustered,0.7;-0.3,27,19,3,24,0,9,6,7,7,4,0,edgeCount
