rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,400,8,8,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
199,100,400,8,8,,clustered,0.8;-0.3,4,38,4,0,0,12,8,10,10,6,0,edgeCount
198,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
197,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
196,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
195,100,400,8,8,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
194,100,400,8,8,,clustered,0.8;-0.3,32,20,4,28,0,-1,-5,-1,-1,-5,0,edgeCount
193,100,400,8,8,,clustered,0.8;-0.3,26,26,3,23,0,-1,-4,-1,-1,-4,0,edgeCount
192,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
191,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
190,100,400,8,8,,clustered,0.8;-0.3,21,15,3,18,0,3,0,3,3,0,0,edgeCount
189,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
188,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
187,100,400,8,8,,clustered,0.8;-0.3,45,15,3,42,0,5,2,5,5,2,0,edgeCount
186,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
185,100,400,8,8,,clustered,0.8;-0.3,46,16,5,41,0,-1,-6,-1,-1,-6,0,edgeCount
184,100,400,8,8,,clustered,0.8;-0.3,28,2,2,26,0,2,0,6,2,4,0,edgeCount
183,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
182,100,400,8,8,,clustered,0.8;-0.3,81,53,5,76,0,-1,-6,-1,-1,-6,0,edgeCount
181,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
180,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
179,100,400,8,8,,clustered,0.8;-0.3,21,42,4,17,0,-1,-5,-1,-1,-5,0,edgeCount
178,100,400,8,8,,clustered,0.8;-0.3,49,7,5,44,0,-1,-6,-1,-1,-6,0,edgeCount
177,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
176,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
175,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
174,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
173,100,400,8,8,,clustered,0.8;-0.3,52,38,4,48,0,-1,-5,-1,-1,-5,0,edgeCount
172,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
171,100,400,8,8,,clustered,0.8;-0.3,55,39,3,52,0,3,0,5,5,2,0,edgeCount
170,100,400,8,8,,clustered,0.8;-0.3,19,21,3,16,0,3,0,5,5,2,0,edgeCount
169,100,400,8,8,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
168,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
167,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
166,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
165,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
164,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
163,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
162,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
161,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
160,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
159,100,400,8,8,,clustered,0.8;-0.3,37,27,4,33,0,12,8,12,12,8,0,edgeCount
158,100,400,8,8,,clustered,0.8;-0.3,44,20,3,41,0,3,0,3,3,0,0,edgeCount
157,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
156,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
155,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
154,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
153,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
152,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
151,100,400,8,8,,clustered,0.8;-0.3,31,11,4,27,0,-1,-5,-1,-1,-5,0,edgeCount
150,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
149,100,400,8,8,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
148,100,400,8,8,,clustered,0.8;-0.3,24,52,4,20,0,-1,-5,-1,-1,-5,0,edgeCount
147,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
146,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
145,100,400,8,8,,clustered,0.8;-0.3,10,11,3,7,0,3,0,3,3,0,0,edgeCount
144,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
