rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,85,503,0.15,6,0,random,-1,3,5,2,1,0,2,0,3,2,1,0,edgeCount
199,85,559,0.15,9,0,random,-1,4,5,2,2,68,2,0,3,2,1,10,edgeCount
198,85,550,0.15,10,0,random,-1,4,5,3,1,30,3,0,3,3,0,4,edgeCount
197,85,546,0.15,13,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
196,85,524,0.15,12,0,random,-1,3,5,2,1,50,2,0,3,2,1,8,edgeCount
195,85,553,0.15,16,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
194,85,517,0.15,11,0,random,-1,3,4,2,1,20,2,0,3,2,1,4,edgeCount
193,85,539,0.15,9,0,random,-1,4,4,3,1,54,3,0,3,3,0,8,edgeCount
192,85,518,0.15,8,0,random,-1,4,4,2,2,14,2,0,3,2,1,2,edgeCount
191,85,518,0.15,10,0,random,-1,4,3,2,2,0,2,0,3,2,1,0,edgeCount
190,85,567,0.15,5,0,random,-1,2,2,2,0,70,2,0,3,2,1,14,edgeCount
189,85,546,0.15,11,0,random,-1,3,4,2,1,0,3,1,3,3,1,0,edgeCount
188,85,549,0.15,8,0,random,-1,3,3,2,1,0,2,0,3,2,1,0,edgeCount
187,85,502,0.15,11,0,random,-1,3,6,2,1,0,2,0,3,2,1,0,edgeCount
186,85,553,0.15,17,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
185,85,538,0.15,11,0,random,-1,3,7,2,1,28,2,0,3,2,1,4,edgeCount
184,85,534,0.15,12,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
183,85,561,0.15,11,0,random,-1,3,6,2,1,40,2,0,3,2,1,6,edgeCount
182,85,533,0.15,13,0,random,-1,3,3,2,1,58,2,0,3,2,1,8,edgeCount
181,85,511,0.15,8,0,random,-1,4,3,3,1,64,3,0,3,3,0,10,edgeCount
180,85,538,0.15,14,0,random,-1,3,3,2,1,36,2,0,3,2,1,6,edgeCount
179,85,571,0.15,10,0,random,-1,3,3,2,1,28,2,0,3,2,1,4,edgeCount
178,85,561,0.15,4,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
177,85,549,0.15,7,0,random,-1,4,2,2,2,0,2,0,3,2,1,0,edgeCount
176,85,531,0.15,12,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
175,85,549,0.15,11,0,random,-1,3,2,2,1,0,2,0,2,2,0,0,edgeCount
174,85,557,0.15,14,0,random,-1,3,5,3,0,24,3,0,3,3,0,4,edgeCount
173,85,530,0.15,10,0,random,-1,4,3,2,2,0,2,0,3,2,1,0,edgeCount
172,85,510,0.15,14,0,random,-1,3,2,2,1,84,2,0,3,2,1,14,edgeCount
171,85,540,0.15,8,0,random,-1,4,2,2,2,0,2,0,3,2,1,0,edgeCount
170,85,580,0.15,12,0,random,-1,3,4,2,1,0,2,0,3,2,1,0,edgeCount
169,85,531,0.15,15,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
168,85,577,0.15,12,0,random,-1,3,5,2,1,42,2,0,3,2,1,6,edgeCount
167,85,513,0.15,10,0,random,-1,3,3,2,1,0,2,0,3,2,1,0,edgeCount
166,85,563,0.15,9,0,random,-1,5,3,2,3,14,2,0,3,2,1,2,edgeCount
165,85,521,0.15,8,0,random,-1,4,2,2,2,0,2,0,3,2,1,0,edgeCount
164,85,511,0.15,12,0,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
163,85,528,0.15,10,0,random,-1,3,5,2,1,0,2,0,3,2,1,0,edgeCount
