rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,25,25,2,2,,clustered,0.7;-0.3,26,26,14,12,0,26,12,26,26,12,0,edgeCount
199,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
198,25,25,2,2,,clustered,0.7;-0.3,32,32,16,16,0,32,16,32,32,16,0,edgeCount
197,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
196,25,25,2,2,,clustered,0.7;-0.3,33,33,13,20,0,33,20,33,33,20,0,edgeCount
195,25,25,2,2,,clustered,0.7;-0.3,25,25,15,10,0,25,10,25,25,10,0,edgeCount
194,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
193,25,25,2,2,,clustered,0.7;-0.3,29,29,11,18,0,29,18,29,29,18,0,edgeCount
192,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
191,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
190,25,25,2,2,,clustered,0.7;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
189,25,25,2,2,,clustered,0.7;-0.3,19,19,17,2,0,19,2,19,19,2,0,edgeCount
188,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
187,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
186,25,25,2,2,,clustered,0.7;-0.3,28,28,18,10,0,28,10,28,28,10,0,edgeCount
185,25,25,2,2,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
184,25,25,2,2,,clustered,0.7;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
183,25,25,2,2,,clustered,0.7;-0.3,13,13,9,4,0,13,4,13,13,4,0,edgeCount
