rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
199,50,50,2,2,,clustered,0.7;-0.3,56,56,22,34,0,56,34,56,56,34,0,edgeCount
198,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
197,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
196,50,50,2,2,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
195,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
194,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
193,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
192,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
191,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
190,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
189,50,50,2,2,,clustered,0.7;-0.3,21,21,21,0,0,21,0,21,21,0,0,edgeCount
188,50,50,2,2,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
187,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
186,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
185,50,50,2,2,,clustered,0.7;-0.3,55,55,27,28,0,55,28,55,55,28,0,edgeCount
184,50,50,2,2,,clustered,0.7;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
183,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
182,50,50,2,2,,clustered,0.7;-0.3,31,31,27,4,0,31,4,31,31,4,0,edgeCount
181,50,50,2,2,,clustered,0.7;-0.3,48,48,36,12,0,48,12,48,48,12,0,edgeCount
180,50,50,2,2,,clustered,0.7;-0.3,20,20,20,0,0,20,0,20,20,0,0,edgeCount
179,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
178,50,50,2,2,,clustered,0.7;-0.3,58,58,30,28,0,58,28,58,58,28,0,edgeCount
