rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
500,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
499,25,56,graphml/AttMpls.graphml,3,24,random,-1,-1,-1,-1,0,10,-1,0,-1,-1,0,6,edgeCount
498,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
497,25,56,graphml/AttMpls.graphml,2,12,random,-1,3,4,3,0,22,3,0,3,3,0,14,edgeCount
496,25,56,graphml/AttMpls.graphml,3,24,random,-1,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
495,25,56,graphml/AttMpls.graphml,3,24,random,-1,7,4,4,3,6,-1,-5,-1,-1,-5,4,edgeCount
494,25,56,graphml/AttMpls.graphml,2,12,random,-1,5,5,3,2,0,-1,-4,-1,-1,-4,0,edgeCount
493,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
492,25,56,graphml/AttMpls.graphml,2,12,random,-1,5,12,3,2,26,3,0,3,3,0,14,edgeCount
491,25,56,graphml/AttMpls.graphml,2,12,random,-1,3,3,3,0,16,3,0,3,3,0,10,edgeCount
490,25,56,graphml/AttMpls.graphml,2,12,random,-1,6,6,5,1,6,-1,-6,-1,-1,-6,4,edgeCount
489,25,56,graphml/AttMpls.graphml,2,12,random,-1,3,3,3,0,12,-1,-4,-1,-1,-4,6,edgeCount
488,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
487,25,56,graphml/AttMpls.graphml,2,12,random,-1,5,5,5,0,2,8,3,7,5,2,2,edgeCount
486,25,56,graphml/AttMpls.graphml,2,12,random,-1,3,3,3,0,0,5,2,5,5,2,0,edgeCount
485,25,56,graphml/AttMpls.graphml,4,36,random,-1,3,3,3,0,14,3,0,3,3,0,10,edgeCount
484,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
483,25,56,graphml/AttMpls.graphml,2,12,random,-1,5,6,4,1,4,4,0,4,4,0,2,edgeCount
482,25,56,graphml/AttMpls.graphml,2,12,random,-1,-1,-1,6,-7,2,-1,-7,10,8,4,2,edgeCount
481,25,56,graphml/AttMpls.graphml,2,12,random,-1,4,10,4,0,0,8,4,8,4,4,0,edgeCount
480,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
479,25,56,graphml/AttMpls.graphml,2,12,random,-1,4,6,4,0,4,-1,-5,-1,-1,-5,2,edgeCount
478,25,56,graphml/AttMpls.graphml,2,12,random,-1,5,7,3,2,0,3,0,3,3,0,0,edgeCount
477,25,56,graphml/AttMpls.graphml,2,12,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
476,25,56,graphml/AttMpls.graphml,3,24,random,-1,6,6,4,2,4,4,0,6,6,2,2,edgeCount
475,25,56,graphml/AttMpls.graphml,3,24,random,-1,5,9,3,2,8,-1,-4,7,5,4,8,edgeCount
474,25,56,graphml/AttMpls.graphml,2,12,random,-1,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
473,25,56,graphml/AttMpls.graphml,2,12,random,-1,3,3,2,1,2,2,0,2,2,0,2,edgeCount
472,25,56,graphml/AttMpls.graphml,3,24,random,-1,4,2,2,2,10,2,0,2,2,0,6,edgeCount
471,25,56,graphml/AttMpls.graphml,2,12,random,-1,6,7,4,2,4,10,6,10,10,6,2,edgeCount
470,25,56,graphml/AttMpls.graphml,4,36,random,-1,3,7,3,0,0,5,2,3,5,0,0,edgeCount
469,25,56,graphml/AttMpls.graphml,2,12,random,-1,4,4,4,0,6,4,0,4,4,0,4,edgeCount
468,25,56,graphml/AttMpls.graphml,3,24,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
467,25,56,graphml/AttMpls.graphml,5,48,random,-1,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
466,25,56,graphml/AttMpls.graphml,2,12,random,-1,4,4,4,0,12,4,0,4,4,0,6,edgeCount
465,25,56,graphml/AttMpls.graphml,2,12,random,-1,5,3,3,2,2,3,0,3,3,0,2,edgeCount
464,25,56,graphml/AttMpls.graphml,4,36,random,-1,3,3,3,0,2,-1,-4,5,3,2,2,edgeCount
463,25,56,graphml/AttMpls.graphml,2,12,random,-1,3,7,3,0,6,3,0,3,3,0,4,edgeCount
462,25,56,graphml/AttMpls.graphml,2,12,random,-1,9,3,3,6,0,3,0,3,3,0,0,edgeCount
461,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,12,-13,6,-1,-13,-1,-1,-13,2,edgeCount
460,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,6,-7,2,-1,-7,-1,-1,-7,2,edgeCount
459,25,56,graphml/AttMpls.graphml,5,48,random,-1,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
458,25,56,graphml/AttMpls.graphml,3,24,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
457,25,56,graphml/AttMpls.graphml,3,24,random,-1,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
456,25,56,graphml/AttMpls.graphml,5,48,random,-1,-1,-1,-1,0,14,-1,0,-1,-1,0,10,edgeCount
455,25,56,graphml/AttMpls.graphml,2,12,random,-1,9,6,3,6,26,3,0,3,3,0,14,edgeCount
454,25,56,graphml/AttMpls.graphml,2,12,random,-1,5,5,4,1,2,5,1,5,5,1,2,edgeCount
453,25,56,graphml/AttMpls.graphml,3,24,random,-1,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,edgeCount
452,25,56,graphml/AttMpls.graphml,2,12,random,-1,4,4,4,0,26,4,0,4,4,0,16,edgeCount
451,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,18,-1,0,-1,-1,0,12,edgeCount
450,25,56,graphml/AttMpls.graphml,2,12,random,-1,4,4,4,0,2,4,0,4,4,0,2,edgeCount
449,25,56,graphml/AttMpls.graphml,2,12,random,-1,4,10,4,0,6,4,0,4,5,0,4,edgeCount
448,25,56,graphml/AttMpls.graphml,4,36,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
447,25,56,graphml/AttMpls.graphml,2,12,random,-1,2,2,2,0,0,2,0,2,2,0,0,edgeCount
446,25,56,graphml/AttMpls.graphml,3,24,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
445,25,56,graphml/AttMpls.graphml,4,36,random,-1,10,10,4,6,14,-1,-5,-1,-1,-5,10,edgeCount
444,25,56,graphml/AttMpls.graphml,3,24,random,-1,4,6,4,0,0,6,2,6,6,2,0,edgeCount
443,25,56,graphml/AttMpls.graphml,4,36,random,-1,3,3,3,0,12,3,0,3,3,0,6,edgeCount
442,25,56,graphml/AttMpls.graphml,2,12,random,-1,-1,-1,3,-4,2,-1,-4,-1,-1,-4,2,edgeCount
