rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,197,243,graphml/Cogentco.graphml,3,,clustered,0.4;-0.3,9,9,7,2,0,9,2,9,9,2,0,edgeCount
999,197,243,graphml/Cogentco.graphml,1,,clustered,0.4;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
998,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,16,16,15,1,2,16,1,16,16,1,2,edgeCount
997,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,7,7,5,2,0,7,2,7,7,2,0,edgeCount
996,197,243,graphml/Cogentco.graphml,1,,clustered,0.4;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
995,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,6,14,3,3,4,3,0,3,3,0,4,edgeCount
994,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,42,17,10,32,2,10,0,10,10,0,2,edgeCount
993,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,18,14,10,8,2,34,24,34,34,24,2,edgeCount
992,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
991,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,13,16,8,5,4,8,0,8,8,0,2,edgeCount
990,197,243,graphml/Cogentco.graphml,1,,clustered,0.4;-0.3,11,11,10,1,4,-1,-11,11,11,1,4,edgeCount
989,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,10,8,8,2,0,9,1,9,9,1,0,edgeCount
988,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,44,10,10,34,2,10,0,10,10,0,2,edgeCount
987,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,25,46,16,9,4,55,39,55,67,39,4,edgeCount
986,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,12,8,8,4,2,24,16,24,24,16,2,edgeCount
985,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
984,197,243,graphml/Cogentco.graphml,1,,clustered,0.4;-0.3,14,14,14,0,2,14,0,14,14,0,2,edgeCount
983,197,243,graphml/Cogentco.graphml,1,,clustered,0.4;-0.3,22,25,22,0,2,22,0,22,25,0,2,edgeCount
982,197,243,graphml/Cogentco.graphml,2,,clustered,0.4;-0.3,19,19,16,3,0,19,3,19,19,3,0,edgeCount
