rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
500,197,243,graphml/Cogentco.graphml,2,16,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
499,197,243,graphml/Cogentco.graphml,2,16,random,-1,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
498,197,243,graphml/Cogentco.graphml,2,16,random,-1,12,12,12,0,0,14,2,12,12,0,0,edgeCount
497,197,243,graphml/Cogentco.graphml,2,16,random,-1,31,31,11,20,0,31,20,31,31,20,0,edgeCount
496,197,243,graphml/Cogentco.graphml,1,0,random,-1,5,14,5,0,2,5,0,5,14,0,2,edgeCount
495,197,243,graphml/Cogentco.graphml,2,16,random,-1,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
494,197,243,graphml/Cogentco.graphml,2,16,random,-1,11,17,6,5,0,19,13,19,19,13,0,edgeCount
493,197,243,graphml/Cogentco.graphml,2,16,random,-1,4,4,4,0,2,4,0,4,4,0,2,edgeCount
492,197,243,graphml/Cogentco.graphml,2,16,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
491,197,243,graphml/Cogentco.graphml,1,0,random,-1,11,11,11,0,0,11,0,11,11,0,0,edgeCount
490,197,243,graphml/Cogentco.graphml,2,16,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
489,197,243,graphml/Cogentco.graphml,2,16,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
488,197,243,graphml/Cogentco.graphml,3,32,random,-1,2,2,2,0,12,2,0,2,2,0,12,edgeCount
487,197,243,graphml/Cogentco.graphml,1,0,random,-1,15,15,15,0,2,15,0,15,15,0,2,edgeCount
