rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
999,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,5,5,4,1,0,6,2,6,5,2,0,edgeCount
998,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,14,12,12,2,0,12,0,12,12,0,0,edgeCount
997,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,17,16,15,2,4,45,30,16,16,1,4,edgeCount
996,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,8,8,5,3,0,8,3,8,8,3,0,edgeCount
995,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,12,14,10,2,2,10,0,10,10,0,2,edgeCount
994,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
993,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,9,9,7,2,0,9,2,9,9,2,0,edgeCount
992,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,3,3,3,0,2,3,0,3,3,0,2,edgeCount
991,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
990,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
989,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,4,10,4,0,4,8,4,8,8,4,2,edgeCount
988,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,8,3,3,5,2,3,0,3,3,0,2,edgeCount
987,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,10,10,10,0,2,10,0,10,10,0,2,edgeCount
986,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,12,19,6,6,0,6,0,6,6,0,0,edgeCount
985,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,10,6,6,4,0,6,0,6,6,0,0,edgeCount
984,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,9,7,6,3,2,6,0,6,6,0,2,edgeCount
983,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,5,6,5,0,0,5,0,5,5,0,0,edgeCount
982,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
981,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,7,11,4,3,0,4,0,4,4,0,0,edgeCount
980,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,16,16,16,0,2,16,0,16,16,0,2,edgeCount
979,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
978,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,9,9,5,4,2,5,0,5,5,0,2,edgeCount
977,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,15,15,12,3,0,15,3,15,15,3,0,edgeCount
976,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,8,8,5,3,0,8,3,8,8,3,0,edgeCount
975,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,21,17,5,16,8,6,1,6,6,1,8,edgeCount
974,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,4,12,3,1,4,10,7,10,10,7,4,edgeCount
973,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,6,13,3,3,0,3,0,3,3,0,0,edgeCount
972,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,4,2,2,2,6,2,0,2,2,0,6,edgeCount
971,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,8,8,7,1,0,8,1,8,8,1,0,edgeCount
970,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
969,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
968,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,6,11,3,3,0,3,0,3,3,0,0,edgeCount
967,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,11,11,11,0,6,11,0,11,11,0,6,edgeCount
966,113,161,graphml/Deltacom.graphml,4,,clustered,0.3;-0.3,20,6,5,15,0,6,1,6,6,1,0,edgeCount
965,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,9,9,8,1,0,9,1,9,9,1,0,edgeCount
964,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
963,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,7,6,4,3,0,4,0,4,4,0,0,edgeCount
962,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,6,4,4,2,0,4,0,4,4,0,0,edgeCount
961,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
960,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,9,14,7,2,0,7,0,7,7,0,0,edgeCount
959,113,161,graphml/Deltacom.graphml,4,,clustered,0.3;-0.3,8,8,6,2,2,12,6,12,12,6,2,edgeCount
958,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,8,5,5,3,2,5,0,5,5,0,2,edgeCount
957,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,13,9,9,4,0,9,0,9,9,0,0,edgeCount
956,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
955,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,2,4,2,0,0,2,0,2,2,0,0,edgeCount
954,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,7,11,4,3,2,4,0,4,4,0,2,edgeCount
953,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
952,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,5,11,5,0,10,5,0,5,5,0,10,edgeCount
951,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
950,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,19,30,16,3,6,16,0,16,16,0,4,edgeCount
949,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,9,2,7,7,0,0,edgeCount
948,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,18,18,18,0,4,18,0,18,18,0,4,edgeCount
947,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
946,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,10,9,8,2,2,9,1,9,9,1,2,edgeCount
945,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,8,8,6,2,0,8,2,8,8,2,0,edgeCount
944,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,16,16,6,10,4,6,0,6,12,0,4,edgeCount
943,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
942,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,4,5,4,0,4,4,0,4,5,0,4,edgeCount
941,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
940,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,3,3,2,1,0,3,1,3,3,1,0,edgeCount
939,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,10,9,7,3,0,8,1,8,8,1,0,edgeCount
938,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
937,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,15,15,9,6,2,9,0,9,9,0,2,edgeCount
936,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,9,9,9,0,2,9,0,9,9,0,2,edgeCount
935,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,15,15,13,2,0,15,2,15,15,2,0,edgeCount
934,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,24,23,8,16,4,8,0,8,8,0,4,edgeCount
933,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,9,13,9,0,2,23,14,23,23,14,2,edgeCount
932,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,22,8,7,15,6,8,1,8,10,1,6,edgeCount
931,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
930,113,161,graphml/Deltacom.graphml,3,,clustered,0.3;-0.3,4,3,3,1,0,3,0,3,3,0,0,edgeCount
929,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,5,4,4,1,0,4,0,4,4,0,0,edgeCount
928,113,161,graphml/Deltacom.graphml,2,,clustered,0.3;-0.3,8,12,7,1,4,7,0,7,7,0,4,edgeCount
927,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,4,5,4,0,2,4,0,4,5,0,2,edgeCount
926,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
925,113,161,graphml/Deltacom.graphml,1,,clustered,0.3;-0.3,9,12,9,0,2,9,0,9,12,0,2,edgeCount
