rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
999,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,3,3,3,0,4,5,2,5,5,2,4,edgeCount
998,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
997,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
996,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,17,16,5,12,2,6,1,6,46,1,2,edgeCount
995,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,17,9,6,11,4,-1,-7,14,16,8,2,edgeCount
994,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
993,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
992,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
991,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,47,67,11,36,2,55,44,55,55,44,2,edgeCount
990,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
989,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
988,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,18,18,10,8,2,-1,-11,18,18,8,2,edgeCount
987,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
986,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
985,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,30,10,10,20,0,-1,-11,-1,-1,-11,0,edgeCount
984,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
983,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,5,4,4,1,0,4,0,4,4,0,0,edgeCount
982,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
981,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
980,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,24,40,8,16,2,40,32,40,40,32,2,edgeCount
979,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
978,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,9,5,5,4,2,-1,-6,9,5,4,2,edgeCount
977,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
976,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
975,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
974,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
973,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
972,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
971,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,10,edgeCount
970,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,17,11,9,8,0,15,6,15,15,6,0,edgeCount
