rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,17,16,12,5,0,12,0,12,12,0,0,edgeCount
999,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,12,12,11,1,0,13,2,13,13,2,0,edgeCount
998,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,17,17,14,3,2,17,3,17,17,3,2,edgeCount
997,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,10,16,10,0,4,10,0,10,16,0,4,edgeCount
996,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,10,13,7,3,0,9,2,9,9,2,0,edgeCount
995,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
994,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,9,5,5,4,0,5,0,5,5,0,0,edgeCount
993,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,12,11,0,0,12,1,12,12,1,0,edgeCount
992,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,16,16,15,1,0,16,1,16,16,1,0,edgeCount
991,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
990,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
989,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,12,14,6,6,2,6,0,6,6,0,2,edgeCount
988,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,10,10,10,0,6,10,0,10,10,0,6,edgeCount
987,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,9,8,3,0,9,1,9,9,1,0,edgeCount
986,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
985,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,18,20,10,8,0,10,0,10,10,0,0,edgeCount
984,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,7,12,7,0,0,7,0,7,7,0,0,edgeCount
983,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,18,11,11,7,2,11,0,11,11,0,2,edgeCount
982,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,4,4,3,1,2,4,1,4,4,1,2,edgeCount
981,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,12,16,6,6,2,6,0,6,6,0,2,edgeCount
980,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
979,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
978,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,12,12,7,5,6,13,6,12,12,5,6,edgeCount
977,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
976,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,10,15,10,0,2,10,0,10,15,0,2,edgeCount
975,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,11,11,0,0,16,5,16,16,5,0,edgeCount
974,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,11,8,3,0,11,3,11,11,3,0,edgeCount
973,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,4,5,4,0,2,4,0,4,4,0,2,edgeCount
972,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,6,6,5,1,0,6,1,6,6,1,0,edgeCount
971,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,10,5,5,5,2,5,0,5,5,0,2,edgeCount
970,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
969,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,15,15,14,1,6,15,1,15,15,1,6,edgeCount
968,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,16,16,15,1,0,16,1,16,16,1,0,edgeCount
967,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,13,22,11,2,2,12,1,12,12,1,2,edgeCount
966,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,16,19,9,7,0,14,5,14,14,5,0,edgeCount
965,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,5,7,5,0,0,5,0,5,5,0,0,edgeCount
964,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,8,6,6,2,0,6,0,6,6,0,0,edgeCount
963,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
962,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,30,5,6,6,5,0,5,5,0,6,edgeCount
961,149,193,graphml/GtsCe.graphml,3,,clustered,0.3;-0.3,16,5,5,11,0,5,0,5,5,0,0,edgeCount
960,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,9,15,9,0,2,9,0,9,15,0,2,edgeCount
959,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,13,13,12,1,0,13,1,13,13,1,0,edgeCount
958,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,14,13,11,3,2,13,2,14,13,3,2,edgeCount
957,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,7,6,5,2,2,6,1,7,6,2,2,edgeCount
956,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,13,13,13,0,0,13,0,13,13,0,0,edgeCount
955,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,9,9,7,2,2,9,2,9,9,2,2,edgeCount
954,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,7,5,5,2,2,5,0,7,5,2,2,edgeCount
953,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,37,16,7,30,4,7,0,7,7,0,4,edgeCount
952,149,193,graphml/GtsCe.graphml,3,,clustered,0.3;-0.3,8,9,8,0,0,9,1,9,9,1,0,edgeCount
951,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,16,18,12,4,0,14,2,14,14,2,0,edgeCount
950,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,8,11,3,5,4,3,0,3,3,0,4,edgeCount
949,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
948,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,9,7,6,3,2,6,0,9,7,3,2,edgeCount
947,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
946,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,6,5,0,5,5,0,6,edgeCount
945,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,12,13,12,0,0,12,0,12,12,0,0,edgeCount
944,149,193,graphml/GtsCe.graphml,3,,clustered,0.3;-0.3,25,24,14,11,0,24,10,24,24,10,0,edgeCount
943,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,14,14,10,4,0,15,5,15,14,5,0,edgeCount
942,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,8,15,8,0,4,8,0,8,15,0,4,edgeCount
941,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,4,4,4,0,6,4,0,4,4,0,6,edgeCount
940,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,21,22,13,8,4,16,3,16,16,3,4,edgeCount
939,149,193,graphml/GtsCe.graphml,1,,clustered,0.3;-0.3,9,15,9,0,2,9,0,9,15,0,2,edgeCount
938,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,9,9,2,0,9,0,9,9,0,0,edgeCount
937,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,8,12,5,3,2,5,0,8,12,3,2,edgeCount
936,149,193,graphml/GtsCe.graphml,3,,clustered,0.3;-0.3,13,13,11,2,0,13,2,13,13,2,0,edgeCount
935,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,14,14,13,1,2,14,1,14,14,1,2,edgeCount
934,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
933,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,7,9,7,0,4,7,0,7,7,0,4,edgeCount
932,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,18,16,16,2,0,18,2,18,18,2,0,edgeCount
931,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,8,8,5,3,0,8,3,8,8,3,0,edgeCount
930,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
929,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
928,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
927,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,19,19,8,11,8,8,0,8,8,0,8,edgeCount
926,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,45,13,11,34,6,13,2,13,13,2,6,edgeCount
925,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,10,8,3,2,8,0,8,8,0,2,edgeCount
924,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,3,3,3,0,2,3,0,3,3,0,2,edgeCount
923,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,11,14,8,3,2,9,1,9,9,1,2,edgeCount
922,149,193,graphml/GtsCe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
