rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
999,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
998,110,148,graphml/Interoute.graphml,1,,clustered,0.3;-0.3,8,8,8,0,2,8,0,8,8,0,2,edgeCount
997,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,3,7,3,0,0,3,0,3,3,0,0,edgeCount
996,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
995,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,11,11,8,3,0,11,3,11,11,3,0,edgeCount
994,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,8,12,8,0,0,8,0,8,8,0,0,edgeCount
993,110,148,graphml/Interoute.graphml,3,,clustered,0.3;-0.3,12,9,7,5,0,10,3,9,9,2,0,edgeCount
992,110,148,graphml/Interoute.graphml,3,,clustered,0.3;-0.3,13,11,10,3,0,11,1,11,11,1,0,edgeCount
991,110,148,graphml/Interoute.graphml,3,,clustered,0.3;-0.3,13,14,9,4,4,9,0,9,9,0,4,edgeCount
990,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,30,10,10,20,4,10,0,10,10,0,4,edgeCount
989,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
988,110,148,graphml/Interoute.graphml,1,,clustered,0.3;-0.3,6,11,6,0,4,6,0,6,11,0,4,edgeCount
987,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
986,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,8,8,8,0,2,8,0,8,8,0,2,edgeCount
985,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,8,8,6,2,4,6,0,6,6,0,4,edgeCount
984,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,3,3,3,0,2,3,0,3,3,0,2,edgeCount
983,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,9,6,6,3,2,6,0,6,6,0,2,edgeCount
982,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
981,110,148,graphml/Interoute.graphml,1,,clustered,0.3;-0.3,10,10,10,0,2,10,0,10,10,0,2,edgeCount
980,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,12,10,10,2,2,10,0,10,10,0,2,edgeCount
979,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,13,12,9,4,4,31,22,31,39,22,4,edgeCount
978,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,16,16,15,1,0,16,1,16,16,1,0,edgeCount
977,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,2,2,2,0,0,3,1,2,2,0,0,edgeCount
976,110,148,graphml/Interoute.graphml,3,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
975,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
974,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,12,8,8,4,2,8,0,8,8,0,2,edgeCount
973,110,148,graphml/Interoute.graphml,1,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
972,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,12,6,4,8,4,4,0,4,4,0,4,edgeCount
971,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,9,9,9,0,2,9,0,9,9,0,2,edgeCount
970,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,25,7,7,18,4,7,0,7,7,0,4,edgeCount
969,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,9,12,8,1,0,8,0,8,8,0,0,edgeCount
968,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,14,10,10,4,0,10,0,10,10,0,0,edgeCount
967,110,148,graphml/Interoute.graphml,1,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
966,110,148,graphml/Interoute.graphml,4,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
965,110,148,graphml/Interoute.graphml,2,,clustered,0.3;-0.3,9,11,9,0,0,25,16,25,25,16,0,edgeCount
