rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,22,22,16,6,0,22,6,22,22,6,0,edgeCount
999,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,12,-13,2,-1,-13,-1,-1,-13,2,edgeCount
998,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
997,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
996,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
995,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,37,55,9,28,2,9,0,9,9,0,2,edgeCount
994,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
993,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,20,20,7,13,0,20,13,20,20,13,0,edgeCount
992,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
991,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
990,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,58,28,17,41,0,-1,-18,-1,-1,-18,0,edgeCount
989,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
988,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
987,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,16,54,12,4,0,32,20,32,32,20,0,edgeCount
986,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
985,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
984,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
983,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
982,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
981,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
980,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
979,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
978,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,40,20,10,30,4,-1,-11,42,42,32,4,edgeCount
977,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,30,12,11,19,2,-1,-12,-1,-1,-12,2,edgeCount
976,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,edgeCount
975,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,37,37,13,24,0,15,2,15,37,2,0,edgeCount
974,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,10,18,7,3,4,16,9,18,18,11,4,edgeCount
973,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
972,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
971,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
970,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
969,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
968,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,14,14,13,1,0,14,1,14,14,1,0,edgeCount
967,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
966,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
965,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,29,19,11,18,0,-1,-12,-1,-1,-12,0,edgeCount
964,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,8,32,5,3,0,8,3,8,8,3,0,edgeCount
963,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
962,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
961,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,58,20,12,46,0,-1,-13,-1,-1,-13,0,edgeCount
960,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
959,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
958,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,32,18,14,18,4,-1,-15,32,18,18,4,edgeCount
957,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,9,-10,2,-1,-10,-1,-1,-10,2,edgeCount
956,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,44,26,11,33,2,-1,-12,-1,-1,-12,2,edgeCount
955,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
954,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,18,26,13,5,0,46,33,46,46,33,0,edgeCount
953,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,12,44,12,0,0,24,12,24,24,12,0,edgeCount
952,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,38,4,4,34,2,4,0,4,4,0,2,edgeCount
951,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,9,3,3,6,2,3,0,3,3,0,2,edgeCount
950,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
949,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
948,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,10,90,6,4,4,30,24,32,32,26,4,edgeCount
947,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,11,11,11,0,2,11,0,11,11,0,2,edgeCount
946,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
945,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
944,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,13,43,13,0,0,-1,-14,-1,-1,-14,0,edgeCount
943,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,15,-16,4,-1,-16,28,28,13,4,edgeCount
942,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
941,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
940,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
939,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
938,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
937,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,12,12,10,2,0,12,2,12,12,2,0,edgeCount
936,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
935,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
934,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,15,49,11,4,0,39,28,39,39,28,0,edgeCount
933,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
932,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
931,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,13,13,9,4,0,13,4,13,13,4,0,edgeCount
930,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,15,15,13,2,0,15,2,15,15,2,0,edgeCount
929,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,12,-13,2,-1,-13,-1,-1,-13,2,edgeCount
928,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
927,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
926,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,3,3,3,0,0,5,2,3,5,0,0,edgeCount
925,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,41,41,15,26,0,41,26,41,41,26,0,edgeCount
924,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,18,18,11,7,0,18,7,18,18,7,0,edgeCount
923,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
922,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,11,35,10,1,0,17,7,17,17,7,0,edgeCount
921,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
920,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
919,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
918,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
917,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
916,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
915,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
914,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
913,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
912,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,9,9,7,2,0,9,2,9,9,2,0,edgeCount
911,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,15,45,13,2,0,35,22,35,35,22,0,edgeCount
910,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
909,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,27,27,9,18,0,27,18,27,27,18,0,edgeCount
908,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
907,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,18,32,4,14,2,4,0,4,4,0,2,edgeCount
906,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
905,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
904,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,5,23,5,0,4,11,6,11,43,6,4,edgeCount
903,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,5,5,3,2,0,5,2,5,5,2,0,edgeCount
902,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,11,47,7,4,0,19,12,19,19,12,0,edgeCount
901,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
900,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,15,55,9,6,0,35,26,35,35,26,0,edgeCount
899,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,13,13,13,0,0,13,0,13,13,0,0,edgeCount
898,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,30,26,9,21,2,-1,-10,34,34,25,2,edgeCount
897,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
896,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
895,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
894,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
893,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
892,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
891,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
890,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,18,38,10,8,6,-1,-11,18,38,8,6,edgeCount
889,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
888,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,13,13,9,4,0,13,4,13,13,4,0,edgeCount
887,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
886,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
885,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
884,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
883,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,5,25,5,0,4,9,4,9,45,4,4,edgeCount
882,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
881,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,49,29,14,35,0,15,1,15,15,1,0,edgeCount
880,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
879,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
878,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,55,19,15,40,2,-1,-16,-1,-1,-16,2,edgeCount
877,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
876,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
875,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
874,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
873,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
872,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,50,12,12,38,2,-1,-13,41,33,29,2,edgeCount
871,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
870,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
