rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
999,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
998,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
997,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
996,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
995,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
994,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
993,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
992,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
991,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
990,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,42,26,16,26,4,-1,-17,36,34,20,4,edgeCount
989,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
988,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
987,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
986,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
985,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
984,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
983,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
982,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
981,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
980,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
979,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
978,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,25,51,7,18,0,7,0,7,7,0,0,edgeCount
977,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,11,-12,4,-1,-12,-1,-1,-12,4,edgeCount
976,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,9,29,9,0,4,15,6,15,33,6,4,edgeCount
975,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
974,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
973,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
972,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
971,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
970,110,148,graphml/Interoute.graphml,4,,clustered,0.8;-0.3,22,60,16,6,2,52,36,28,56,12,2,edgeCount
969,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
968,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
967,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
966,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
965,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
964,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
963,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
962,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
961,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
960,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,13,-14,2,-1,-14,-1,-1,-14,2,edgeCount
959,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
958,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
957,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
956,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
955,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
954,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
953,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
952,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
951,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
950,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
949,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
948,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
947,110,148,graphml/Interoute.graphml,4,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
946,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
945,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
944,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
943,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
942,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
941,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
940,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
939,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,12,32,6,6,0,20,14,20,20,14,0,edgeCount
938,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
937,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,15,15,15,0,6,15,0,15,15,0,6,edgeCount
936,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
935,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
934,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
933,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
932,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,35,35,7,28,0,35,28,35,35,28,0,edgeCount
931,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,13,43,11,2,2,21,10,21,21,10,2,edgeCount
930,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
929,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
928,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
