rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
999,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,10,11,9,1,0,9,0,9,9,0,0,edgeCount
998,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,9,7,7,2,2,7,0,9,7,2,2,edgeCount
997,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
996,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
995,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,13,27,5,8,2,5,0,5,5,0,2,edgeCount
994,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,12,23,6,6,0,6,0,6,6,0,0,edgeCount
993,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
992,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
991,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,9,8,8,1,4,8,0,8,8,0,4,edgeCount
990,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,10,9,0,2,9,0,9,10,0,2,edgeCount
989,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,12,12,12,0,2,12,0,12,12,0,2,edgeCount
988,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
987,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,2,7,0,7,7,0,2,edgeCount
986,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
985,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,7,1,7,6,1,0,edgeCount
984,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,2,11,0,11,11,0,2,edgeCount
983,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,10,10,10,0,2,10,0,10,10,0,2,edgeCount
982,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,10,20,10,0,6,10,0,10,20,0,6,edgeCount
