rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
999,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,7,37,7,0,4,7,0,7,37,0,4,edgeCount
998,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,6,28,6,0,2,6,0,6,28,0,2,edgeCount
997,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
996,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,17,17,16,1,0,17,1,17,17,1,0,edgeCount
995,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
994,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
993,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
992,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,13,-14,2,-1,-14,-1,-1,-14,2,edgeCount
991,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
990,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
989,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,20,20,10,10,2,-1,-11,20,20,10,2,edgeCount
988,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
987,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,2,2,2,0,2,2,0,2,2,0,2,edgeCount
986,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,2,5,0,5,5,0,2,edgeCount
985,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
984,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,5,-6,4,-1,-6,-1,-1,-6,4,edgeCount
983,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
982,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
981,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
980,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,17,25,17,0,4,-1,-18,17,25,0,4,edgeCount
979,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
978,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
977,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,19,17,17,2,2,-1,-18,19,17,2,2,edgeCount
976,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,14,-15,0,-1,-15,-1,-1,-15,0,edgeCount
975,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,17,17,11,6,0,17,6,17,17,6,0,edgeCount
974,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,2,6,2,0,0,6,4,6,6,4,0,edgeCount
973,93,103,graphml/Oteglobe.graphml,3,,clustered,0.6;-0.3,50,50,7,43,0,-1,-8,50,50,43,0,edgeCount
972,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
971,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,20,20,5,15,2,20,15,20,20,15,2,edgeCount
970,93,103,graphml/Oteglobe.graphml,3,,clustered,0.6;-0.3,44,44,11,33,2,-1,-12,44,44,33,2,edgeCount
969,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
968,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,25,17,11,14,2,-1,-12,25,17,14,2,edgeCount
