rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
500,93,103,graphml/Oteglobe.graphml,2,7,random,-1,6,6,5,1,0,6,1,6,6,1,0,edgeCount
499,93,103,graphml/Oteglobe.graphml,2,7,random,-1,27,27,9,18,0,27,18,27,27,18,0,edgeCount
498,93,103,graphml/Oteglobe.graphml,2,7,random,-1,17,7,7,10,2,7,0,7,7,0,2,edgeCount
497,93,103,graphml/Oteglobe.graphml,2,7,random,-1,20,20,10,10,0,20,10,20,20,10,0,edgeCount
496,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,8,8,0,2,8,0,8,8,0,2,edgeCount
495,93,103,graphml/Oteglobe.graphml,2,7,random,-1,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
494,93,103,graphml/Oteglobe.graphml,4,21,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
493,93,103,graphml/Oteglobe.graphml,1,0,random,-1,7,7,7,0,0,7,0,7,7,0,0,edgeCount
492,93,103,graphml/Oteglobe.graphml,2,7,random,-1,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
491,93,103,graphml/Oteglobe.graphml,2,7,random,-1,-1,-1,11,-12,2,-1,-12,-1,-1,-12,2,edgeCount
490,93,103,graphml/Oteglobe.graphml,2,7,random,-1,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
489,93,103,graphml/Oteglobe.graphml,2,7,random,-1,13,13,6,7,0,13,7,13,13,7,0,edgeCount
488,93,103,graphml/Oteglobe.graphml,2,7,random,-1,6,4,4,2,4,5,1,4,4,0,4,edgeCount
487,93,103,graphml/Oteglobe.graphml,1,0,random,-1,10,10,10,0,2,10,0,10,10,0,2,edgeCount
486,93,103,graphml/Oteglobe.graphml,2,7,random,-1,4,4,4,0,0,7,3,4,4,0,0,edgeCount
485,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,16,6,0,6,6,0,6,16,0,6,edgeCount
