rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
1000,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
999,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
998,100,275,0.05,3,2,random,3,5,3,0,10,3,3,6,4
997,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
996,100,275,0.05,3,2,random,3,5,3,0,10,3,3,6,4
995,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
994,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
993,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
992,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
991,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
990,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
989,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
988,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
987,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
986,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
985,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
984,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
983,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
982,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
981,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
980,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
979,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
978,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
977,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
976,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
975,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
974,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
973,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
972,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
971,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
970,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
969,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
968,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
967,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
966,100,275,0.05,3,2,random,3,5,3,0,10,3,3,6,4
965,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
964,100,275,0.05,3,2,random,3,3,3,0,10,3,3,8,4
963,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
962,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
961,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
960,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
959,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
958,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
957,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
956,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
955,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
954,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
953,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
952,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
951,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
950,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
949,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
948,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
947,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
946,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
945,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
944,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
943,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
942,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
941,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
940,100,275,0.05,3,2,random,3,3,3,0,10,3,3,6,4
