rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
500,100,219,0.05,3,2,adversarial,0.6,5,5,5,0,4,13,5,5,2
499,100,259,0.05,3,2,adversarial,0.73,3,3,3,0,22,3,3,3,8
498,100,253,0.05,3,2,adversarial,0.69,5,5,2,3,16,2,2,2,6
497,100,267,0.05,9,8,adversarial,0.86,2,2,3,-1,0,7,2,2,0
496,100,223,0.05,2,1,adversarial,0.52,2,2,2,0,12,2,2,2,6
495,100,259,0.05,1,0,adversarial,0.46,4,4,4,0,0,4,4,4,0
494,100,244,0.05,3,2,adversarial,0.62,4,6,2,2,0,2,2,2,0
493,100,265,0.05,3,2,adversarial,0.48,4,5,4,0,6,4,4,4,2
492,100,252,0.05,4,3,adversarial,0.48,3,3,3,0,0,3,3,3,0
491,100,222,0.05,5,4,adversarial,0.57,3,3,3,0,0,7,3,3,0
490,100,302,0.05,6,5,adversarial,0.36,3,3,3,0,0,5,2,2,0
489,100,239,0.05,3,2,adversarial,0.47,3,5,4,-1,28,12,3,3,12
488,100,254,0.05,5,4,adversarial,0.9,2,2,4,-2,0,24,2,2,0
487,100,275,0.05,7,6,adversarial,0.72,3,3,3,0,4,7,3,3,2
486,100,229,0.05,4,3,adversarial,0.7,2,2,3,-1,0,5,2,2,0
485,100,278,0.05,3,2,adversarial,0.68,4,4,4,0,2,4,4,4,2
484,100,240,0.05,4,3,adversarial,0.5,3,3,4,-1,0,8,3,3,0
483,100,259,0.05,3,2,adversarial,0.85,3,3,3,0,0,3,3,3,0
482,100,219,0.05,3,2,adversarial,0.67,4,7,4,0,6,6,2,2,2
481,100,246,0.05,4,3,adversarial,0.77,4,4,4,0,4,10,4,4,2
480,100,248,0.05,2,1,adversarial,0.72,4,6,5,-1,0,11,4,4,0
479,100,247,0.05,2,1,adversarial,0.46,4,4,4,0,0,4,4,4,0
478,100,257,0.05,2,1,adversarial,0.52,4,6,4,0,14,10,4,4,8
