rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne
1000,100,248,0.05,3,2,adversarial,0.8,15,15,4,11,0,10,6,4,4,0,0
999,100,262,0.05,4,3,adversarial,0.8,29,29,5,24,0,23,18,23,23,18,0
998,100,248,0.05,6,5,adversarial,0.8,5,20,3,2,0,5,2,9,9,6,0
997,100,240,0.05,4,3,adversarial,0.8,12,16,4,8,0,14,10,20,20,16,0
996,100,243,0.05,3,2,adversarial,0.8,8,8,4,4,26,8,4,8,8,4,12
995,100,245,0.05,2,1,adversarial,0.8,9,5,4,5,0,10,6,10,10,6,0
994,100,221,0.05,6,5,adversarial,0.8,3,3,3,0,4,3,0,3,3,0,2
993,100,253,0.05,5,4,adversarial,0.8,44,40,4,40,0,16,12,10,10,6,0
992,100,235,0.05,5,4,adversarial,0.8,3,3,3,0,0,7,4,3,3,0,0
991,100,251,0.05,4,3,adversarial,0.8,23,23,4,19,0,11,7,11,11,7,0
990,100,247,0.05,3,2,adversarial,0.8,23,21,4,19,16,-1,-5,18,26,14,8
989,100,236,0.05,3,2,adversarial,0.8,18,10,4,14,14,13,9,13,15,9,8
988,100,237,0.05,2,1,adversarial,0.8,8,6,4,4,0,8,4,8,8,4,0
987,100,243,0.05,1,0,adversarial,0.8,25,25,6,19,6,-1,-7,25,25,19,6
986,100,267,0.05,5,4,adversarial,0.8,12,12,4,8,4,4,0,10,10,6,2
985,100,245,0.05,2,1,adversarial,0.8,4,4,4,0,0,4,0,4,4,0,0
984,100,231,0.05,2,1,adversarial,0.8,8,6,2,6,0,2,0,2,2,0,0
983,100,244,0.05,2,1,adversarial,0.8,4,18,4,0,10,10,6,26,26,22,6
982,100,252,0.05,4,3,adversarial,0.8,13,13,4,9,10,8,4,8,8,4,4
981,100,259,0.05,7,6,adversarial,0.8,25,6,4,21,0,14,10,14,14,10,0
980,100,236,0.05,3,2,adversarial,0.8,20,8,4,16,0,18,14,18,18,14,0
979,100,230,0.05,5,4,adversarial,0.8,13,31,4,9,0,21,17,13,13,9,0
978,100,289,0.05,2,1,adversarial,0.8,3,19,3,0,16,3,0,3,3,0,8
977,100,254,0.05,6,5,adversarial,0.8,4,4,2,2,0,4,2,4,4,2,0
976,100,274,0.05,8,7,adversarial,0.8,7,7,3,4,8,7,4,7,7,4,4
975,100,232,0.05,2,1,adversarial,0.8,6,6,3,3,0,7,4,7,7,4,0
974,100,242,0.05,5,4,adversarial,0.8,3,3,3,0,2,3,0,3,3,0,2
973,100,218,0.05,5,4,adversarial,0.8,5,5,3,2,0,9,6,5,5,2,0
972,100,216,0.05,2,1,adversarial,0.8,10,10,5,5,0,11,6,11,11,6,0
971,100,242,0.05,4,3,adversarial,0.8,4,4,2,2,0,14,12,4,4,2,0
970,100,225,0.05,4,3,adversarial,0.8,24,24,4,20,0,8,4,8,8,4,0
969,100,267,0.05,6,5,adversarial,0.8,3,3,3,0,0,3,0,3,3,0,0
968,100,223,0.05,1,0,adversarial,0.8,5,19,5,0,4,5,0,5,19,0,4
967,100,237,0.05,3,2,adversarial,0.8,9,5,2,7,0,2,0,2,2,0,0
966,100,250,0.05,5,4,adversarial,0.8,43,35,5,38,0,17,12,17,17,12,0
965,100,250,0.05,1,0,adversarial,0.8,4,4,4,0,0,4,0,4,4,0,0
964,100,260,0.05,5,4,adversarial,0.8,14,10,3,11,6,3,0,7,7,4,2
963,100,265,0.05,4,3,adversarial,0.8,7,9,3,4,24,3,0,3,3,0,10
962,100,259,0.05,4,3,adversarial,0.8,8,16,4,4,0,8,4,20,20,16,0
961,100,255,0.05,2,1,adversarial,0.8,3,15,3,0,6,3,0,3,3,0,4
960,100,249,0.05,6,5,adversarial,0.8,6,4,3,3,12,11,8,11,11,8,4
959,100,237,0.05,5,4,adversarial,0.8,21,11,5,16,0,13,8,25,25,20,0
958,100,251,0.05,5,4,adversarial,0.8,18,18,4,14,0,16,12,16,16,12,0
957,100,258,0.05,3,2,adversarial,0.8,4,17,4,0,26,4,0,4,4,0,10
956,100,260,0.05,4,3,adversarial,0.8,20,16,4,16,0,10,6,16,16,12,0
955,100,230,0.05,1,0,adversarial,0.8,5,5,5,0,0,5,0,5,5,0,0
954,100,246,0.05,5,4,adversarial,0.8,27,27,5,22,0,31,26,31,31,26,0
953,100,245,0.05,3,2,adversarial,0.8,2,2,2,0,12,2,0,2,2,0,4
952,100,255,0.05,6,5,adversarial,0.8,14,9,4,10,0,12,8,18,18,14,0
951,100,247,0.05,5,4,adversarial,0.8,7,7,3,4,0,7,4,7,7,4,0
950,100,248,0.05,6,5,adversarial,0.8,2,2,2,0,10,2,0,2,2,0,6
949,100,272,0.05,5,4,adversarial,0.8,12,12,3,9,0,12,9,12,12,9,0
948,100,232,0.05,3,2,adversarial,0.8,5,19,5,0,8,5,0,5,5,0,4
947,100,236,0.05,6,5,adversarial,0.8,3,3,3,0,0,3,0,3,3,0,0
946,100,258,0.05,1,0,adversarial,0.8,2,2,2,0,0,2,0,2,2,0,0
945,100,262,0.05,6,5,adversarial,0.8,7,7,3,4,0,3,0,7,7,4,0
944,100,239,0.05,4,3,adversarial,0.8,36,36,5,31,0,17,12,17,17,12,0
943,100,227,0.05,5,4,adversarial,0.8,17,25,5,12,6,25,20,24,24,19,4
942,100,247,0.05,4,3,adversarial,0.8,3,3,3,0,28,3,0,3,3,0,10
941,100,225,0.05,3,2,adversarial,0.8,5,21,3,2,0,5,2,5,5,2,0
940,100,227,0.05,5,4,adversarial,0.8,9,9,3,6,0,9,6,9,9,6,0
939,100,244,0.05,5,4,adversarial,0.8,21,17,4,17,0,26,22,26,26,22,0
938,100,251,0.05,3,2,adversarial,0.8,4,4,4,0,2,16,12,4,4,0,2
937,100,247,0.05,2,1,adversarial,0.8,4,16,4,0,10,6,2,6,12,2,6
936,100,255,0.05,4,3,adversarial,0.8,9,10,4,5,8,10,6,16,16,12,4
935,100,260,0.05,6,5,adversarial,0.8,7,7,3,4,0,7,4,7,7,4,0
934,100,265,0.05,2,1,adversarial,0.8,7,7,3,4,0,8,5,8,8,5,0
933,100,233,0.05,4,3,adversarial,0.8,22,18,4,18,0,15,11,23,23,19,0
932,100,221,0.05,2,1,adversarial,0.8,4,4,4,0,0,4,0,4,4,0,0
931,100,271,0.05,7,6,adversarial,0.8,10,10,4,6,6,16,12,16,16,12,2
930,100,249,0.05,3,2,adversarial,0.8,3,21,3,0,0,5,2,5,5,2,0
929,100,257,0.05,6,5,adversarial,0.8,28,26,4,24,0,8,4,20,20,16,0
928,100,233,0.05,2,1,adversarial,0.8,10,6,4,6,4,10,6,18,18,14,2
927,100,229,0.05,2,1,adversarial,0.8,3,9,3,0,0,3,0,3,3,0,0
926,100,263,0.05,5,4,adversarial,0.8,3,3,3,0,4,3,0,3,3,0,2
925,100,251,0.05,4,3,adversarial,0.8,50,36,5,45,0,21,16,21,21,16,0
924,100,231,0.05,4,3,adversarial,0.8,16,16,5,11,6,-1,-6,28,28,23,2
923,100,231,0.05,3,2,adversarial,0.8,10,18,4,6,4,14,10,24,24,20,2
922,100,245,0.05,3,2,adversarial,0.8,32,30,4,28,14,-1,-5,25,21,21,8
921,100,227,0.05,4,3,adversarial,0.8,10,10,4,6,0,10,6,10,10,6,0
920,100,273,0.05,1,0,adversarial,0.8,3,14,3,0,14,3,0,3,14,0,14
919,100,241,0.05,4,3,adversarial,0.8,2,2,2,0,16,2,0,2,2,0,8
918,100,270,0.05,5,4,adversarial,0.8,15,21,4,11,12,22,18,22,22,18,4
917,100,262,0.05,6,5,adversarial,0.8,14,14,4,10,0,14,10,14,14,10,0
915,100,222,0.05,4,3,adversarial,0.8,31,45,6,25,0,25,19,25,25,19,0
914,100,232,0.05,5,4,adversarial,0.8,40,32,4,36,0,19,15,27,27,23,0
913,100,267,0.05,3,2,adversarial,0.8,15,15,3,12,0,7,4,7,7,4,0
912,100,231,0.05,3,2,adversarial,0.8,29,21,5,24,0,17,12,17,17,12,0
911,100,234,0.05,3,2,adversarial,0.8,18,14,5,13,4,12,7,22,22,17,2
910,100,246,0.05,4,3,adversarial,0.8,4,4,4,0,0,4,0,4,4,0,0
909,100,234,0.05,2,1,adversarial,0.8,11,11,4,7,0,4,0,4,4,0,0
908,100,263,0.05,6,5,adversarial,0.8,16,16,4,12,0,12,8,12,12,8,0
