rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,100,248,0.05,5,4,clustered,0.5;-0.15,19,19,5,14,16,-1,-6,-1,-1,-6,6,average
999,100,248,0.05,4,3,clustered,0.5;-0.15,4,22,4,0,0,10,6,10,10,6,0,average
998,100,241,0.05,3,2,clustered,0.5;-0.15,5,5,5,0,0,5,0,5,5,0,0,average
997,100,263,0.05,6,5,clustered,0.5;-0.15,14,6,5,9,4,-1,-6,-1,-1,-6,2,average
995,100,240,0.05,5,4,clustered,0.5;-0.15,26,34,6,20,0,-1,-7,-1,-1,-7,0,average
993,100,258,0.05,3,2,clustered,0.5;-0.15,5,5,3,2,22,-1,-4,-1,-1,-4,8,average
992,100,235,0.05,7,6,clustered,0.5;-0.15,8,8,4,4,0,-1,-5,-1,-1,-5,0,average
991,100,261,0.05,3,2,clustered,0.5;-0.15,21,9,5,16,24,-1,-6,-1,-1,-6,12,average
989,100,224,0.05,2,1,clustered,0.5;-0.15,32,32,6,26,14,-1,-7,-1,-1,-7,8,average
988,100,288,0.05,5,4,clustered,0.5;-0.15,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,average
987,100,219,0.05,4,3,clustered,0.5;-0.15,11,9,4,7,8,-1,-5,-1,-1,-5,4,average
986,100,258,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,12,-1,-6,-1,-1,-6,4,average
985,100,268,0.05,5,4,clustered,0.5;-0.15,28,42,4,24,14,16,12,14,24,10,6,average
984,100,229,0.05,2,1,clustered,0.5;-0.15,5,13,5,0,0,-1,-6,-1,-1,-6,0,average
983,100,245,0.05,3,2,clustered,0.5;-0.15,20,20,4,16,8,8,4,8,8,4,4,average
982,100,248,0.05,2,1,clustered,0.5;-0.15,4,6,4,0,0,4,0,4,4,0,0,average
981,100,244,0.05,5,4,clustered,0.5;-0.15,49,25,3,46,16,-1,-4,-1,-1,-4,6,average
980,100,264,0.05,5,4,clustered,0.5;-0.15,-1,-1,6,-7,8,-1,-7,-1,-1,-7,4,average
979,100,219,0.05,4,3,clustered,0.5;-0.15,13,19,4,9,0,7,3,13,13,9,0,average
978,100,240,0.05,5,4,clustered,0.5;-0.15,26,22,4,22,0,-1,-5,-1,-1,-5,0,average
977,100,235,0.05,3,2,clustered,0.5;-0.15,15,13,6,9,28,-1,-7,-1,-1,-7,12,average
975,100,254,0.05,4,3,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,average
974,100,246,0.05,6,5,clustered,0.5;-0.15,-1,-1,4,-5,16,-1,-5,-1,-1,-5,6,average
973,100,267,0.05,7,6,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
971,100,273,0.05,7,6,clustered,0.5;-0.15,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,average
970,100,239,0.05,4,3,clustered,0.5;-0.15,15,16,4,11,0,4,0,4,4,0,0,average
969,100,211,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,average
968,100,246,0.05,4,3,clustered,0.5;-0.15,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,average
966,100,220,0.05,3,2,clustered,0.5;-0.15,26,28,5,21,2,-1,-6,16,16,11,2,average
