rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,100,236,0.05,3,2,clustered,0.5;-0.15,9,9,5,4,8,7,2,7,7,2,4,shortest
999,100,230,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
998,100,266,0.05,8,7,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,shortest
996,100,269,0.05,3,2,clustered,0.5;-0.15,4,4,4,0,0,14,10,14,14,10,0,shortest
995,100,251,0.05,5,4,clustered,0.5;-0.15,5,5,4,1,10,-1,-5,-1,-1,-5,4,shortest
994,100,245,0.05,2,1,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
992,100,278,0.05,7,6,clustered,0.5;-0.15,25,31,4,21,22,-1,-5,-1,-1,-5,8,shortest
991,100,271,0.05,3,2,clustered,0.5;-0.15,10,10,5,5,14,-1,-6,-1,-1,-6,6,shortest
990,100,226,0.05,2,1,clustered,0.5;-0.15,6,8,4,2,12,-1,-5,-1,-1,-5,6,shortest
988,100,265,0.05,7,6,clustered,0.5;-0.15,5,5,3,2,0,5,2,5,5,2,0,shortest
987,100,278,0.05,5,4,clustered,0.5;-0.15,30,28,5,25,6,-1,-6,-1,-1,-6,2,shortest
986,100,245,0.05,2,1,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
985,100,245,0.05,6,5,clustered,0.5;-0.15,27,31,5,22,0,-1,-6,-1,-1,-6,0,shortest
983,100,259,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
982,100,254,0.05,2,1,clustered,0.5;-0.15,26,26,6,20,8,-1,-7,-1,-1,-7,4,shortest
981,100,242,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,12,-1,-7,-1,-1,-7,6,shortest
979,100,262,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
978,100,265,0.05,7,6,clustered,0.5;-0.15,7,12,3,4,0,3,0,3,3,0,0,shortest
977,100,243,0.05,5,4,clustered,0.5;-0.15,18,16,6,12,2,-1,-7,-1,-1,-7,2,shortest
976,100,240,0.05,2,1,clustered,0.5;-0.15,-1,-1,7,-8,8,-1,-8,-1,-1,-8,4,shortest
