rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,12,12,4,8,0,4,0,10,10,6,0,shortest
999,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,4,3,1,18,6,3,6,6,3,0,shortest
998,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,5,5,5,0,4,-1,-6,-1,-1,-6,0,shortest
997,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,11,11,4,7,0,-1,-5,-1,-1,-5,0,shortest
995,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,5,9,3,2,0,-1,-4,-1,-1,-4,0,shortest
993,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,0,7,4,3,3,0,0,shortest
992,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,15,15,3,12,2,-1,-4,-1,-1,-4,0,shortest
991,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
990,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,0,-1,-4,-1,-1,-4,0,shortest
989,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,13,13,5,8,12,-1,-6,-1,-1,-6,0,shortest
987,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,29,25,4,25,0,-1,-5,-1,-1,-5,0,shortest
986,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,9,9,3,6,0,7,4,7,7,4,0,shortest
985,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
984,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,24,26,6,18,4,-1,-7,-1,-1,-7,0,shortest
983,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,11,11,4,7,0,-1,-5,11,11,7,0,shortest
982,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,25,25,3,22,0,-1,-4,-1,-1,-4,0,shortest
980,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,0,7,4,7,7,4,0,shortest
979,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,5,5,3,2,0,3,0,5,5,2,0,shortest
978,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,-1,-1,5,-6,2,-1,-6,-1,-1,-6,0,shortest
977,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,8,12,3,5,0,4,1,8,8,5,0,shortest
976,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,3,3,2,1,0,4,2,3,3,1,0,shortest
975,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,11,17,3,8,0,-1,-4,-1,-1,-4,0,shortest
974,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,10,4,0,4,4,0,4,4,0,0,shortest
973,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
972,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,6,6,3,3,0,-1,-4,-1,-1,-4,0,shortest
971,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
970,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,2,3,0,7,7,4,0,shortest
969,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,-1,-1,5,-6,4,-1,-6,-1,-1,-6,0,shortest
968,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,3,0,0,-1,-4,3,3,0,0,shortest
967,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,11,11,4,7,18,-1,-5,-1,-1,-5,0,shortest
966,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
964,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,9,7,4,5,0,-1,-5,-1,-1,-5,0,shortest
963,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,3,0,0,3,0,5,5,2,0,shortest
962,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,4,4,4,0,0,8,4,4,4,0,0,shortest
961,25,56,graphml/AttMpls.graphml,6,5,clustered,0.6;-0.3,9,9,3,6,10,-1,-4,-1,-1,-4,0,shortest
960,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,16,16,4,12,0,8,4,8,8,4,0,shortest
958,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,shortest
957,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,7,5,4,3,2,-1,-5,-1,-1,-5,0,shortest
956,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,14,14,5,9,22,-1,-6,-1,-1,-6,0,shortest
955,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
954,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,6,6,4,2,0,6,2,6,6,2,0,shortest
952,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,-1,-1,4,-5,18,-1,-5,-1,-1,-5,0,shortest
951,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
950,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,6,6,4,2,0,12,8,6,6,2,0,shortest
949,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,4,4,0,0,8,4,4,4,0,0,shortest
948,25,56,graphml/AttMpls.graphml,6,5,clustered,0.6;-0.3,13,15,3,10,12,11,8,11,11,8,0,shortest
947,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,13,13,3,10,0,7,4,7,7,4,0,shortest
946,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,5,13,5,0,0,5,0,5,5,0,0,shortest
945,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,5,5,3,2,0,5,2,5,5,2,0,shortest
944,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,2,2,2,0,14,2,0,2,2,0,0,shortest
943,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,21,21,3,18,0,7,4,7,7,4,0,shortest
942,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,4,4,0,0,6,2,4,4,0,0,shortest
940,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,5,3,0,0,3,0,3,3,0,0,shortest
939,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,12,3,0,3,3,0,6,shortest
938,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,19,11,4,15,0,11,7,11,11,7,0,shortest
937,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,22,22,4,18,0,-1,-5,-1,-1,-5,0,shortest
936,25,56,graphml/AttMpls.graphml,7,6,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,shortest
935,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,shortest
934,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,22,21,4,18,12,-1,-5,-1,-1,-5,0,shortest
933,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,6,6,2,4,0,2,0,2,2,0,0,shortest
932,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,20,20,4,16,18,12,8,12,12,8,0,shortest
931,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,2,1,0,2,0,2,2,0,0,shortest
930,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
929,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,5,4,0,28,4,0,4,4,0,16,shortest
928,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,4,4,2,2,0,4,2,4,4,2,0,shortest
927,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,10,10,4,6,0,10,6,10,10,6,0,shortest
926,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,9,3,0,8,-1,-4,-1,-1,-4,0,shortest
924,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,8,3,1,0,4,1,4,4,1,0,shortest
923,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
922,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,10,6,4,6,0,12,8,12,12,8,0,shortest
