rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,8,8,8,0,0,8,0,8,8,0,0,edgeCount
999,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,27,49,7,20,2,21,14,11,35,4,2,edgeCount
998,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,5,5,5,0,0,5,0,5,5,0,0,edgeCount
997,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,19,19,7,12,0,15,8,15,15,8,0,edgeCount
996,113,161,graphml/Deltacom.graphml,3,2,adversarial,0.95,8,8,4,4,0,8,4,8,8,4,0,edgeCount
995,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,37,65,14,23,2,37,23,15,65,1,2,edgeCount
994,113,161,graphml/Deltacom.graphml,3,2,adversarial,0.95,41,41,9,32,0,41,32,41,41,32,0,edgeCount
993,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,19,37,6,13,2,7,1,7,33,1,2,edgeCount
992,113,161,graphml/Deltacom.graphml,1,0,adversarial,0.95,18,18,10,8,4,-1,-11,18,18,8,4,edgeCount
991,113,161,graphml/Deltacom.graphml,1,0,adversarial,0.95,6,6,6,0,0,6,0,6,6,0,0,edgeCount
990,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,9,9,9,0,0,9,0,9,9,0,0,edgeCount
989,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,3,3,3,0,0,3,0,3,3,0,0,edgeCount
988,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,22,10,10,12,0,22,12,22,10,12,0,edgeCount
987,113,161,graphml/Deltacom.graphml,4,3,adversarial,0.95,25,25,7,18,2,25,18,29,29,22,2,edgeCount
986,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,9,9,9,0,2,9,0,31,25,22,2,edgeCount
985,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,8,8,8,0,2,8,0,34,8,26,2,edgeCount
984,113,161,graphml/Deltacom.graphml,1,0,adversarial,0.95,15,15,15,0,2,15,0,15,15,0,2,edgeCount
983,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,31,11,11,20,0,11,0,11,11,0,0,edgeCount
982,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,3,3,3,0,0,3,0,3,3,0,0,edgeCount
981,113,161,graphml/Deltacom.graphml,3,2,adversarial,0.95,8,6,6,2,0,8,2,8,8,2,0,edgeCount
980,113,161,graphml/Deltacom.graphml,2,1,adversarial,0.95,32,26,9,23,4,-1,-10,26,10,17,4,edgeCount
979,113,161,graphml/Deltacom.graphml,1,0,adversarial,0.95,8,52,8,0,6,8,0,8,52,0,6,edgeCount
