rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,50,167,0.15,7,,clustered,0.7;-0.3,17,9,3,14,0,3,0,9,9,6,0,edgeCount
999,50,173,0.15,6,,clustered,0.7;-0.3,10,34,4,6,12,22,18,22,22,18,4,edgeCount
998,50,184,0.15,8,,clustered,0.7;-0.3,20,23,3,17,0,7,4,7,7,4,0,edgeCount
997,50,184,0.15,4,,clustered,0.7;-0.3,3,5,3,0,36,7,4,7,5,4,10,edgeCount
996,50,183,0.15,5,,clustered,0.7;-0.3,22,17,4,18,24,-1,-5,-1,-1,-5,8,edgeCount
995,50,184,0.15,5,,clustered,0.7;-0.3,13,5,3,10,28,5,2,3,23,0,8,edgeCount
994,50,199,0.15,5,,clustered,0.7;-0.3,26,24,4,22,62,-1,-5,20,20,16,14,edgeCount
993,50,190,0.15,7,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
990,50,183,0.15,8,,clustered,0.7;-0.3,3,4,3,0,0,7,4,7,7,4,0,edgeCount
989,50,195,0.15,8,,clustered,0.7;-0.3,22,26,3,19,0,-1,-4,-1,-1,-4,0,edgeCount
988,50,175,0.15,4,,clustered,0.7;-0.3,19,5,3,16,0,7,4,7,7,4,0,edgeCount
986,50,175,0.15,6,,clustered,0.7;-0.3,12,5,3,9,36,-1,-4,-1,-1,-4,10,edgeCount
984,50,190,0.15,5,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
983,50,172,0.15,4,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
982,50,193,0.15,3,,clustered,0.7;-0.3,5,5,5,0,36,-1,-6,9,9,4,12,edgeCount
981,50,196,0.15,2,,clustered,0.7;-0.3,18,6,4,14,16,-1,-5,-1,-1,-5,8,edgeCount
980,50,195,0.15,3,,clustered,0.7;-0.3,-1,-1,5,-6,24,-1,-6,-1,-1,-6,8,edgeCount
979,50,173,0.15,6,,clustered,0.7;-0.3,4,8,4,0,16,20,16,20,20,16,4,edgeCount
977,50,203,0.15,7,,clustered,0.7;-0.3,-1,-1,4,-5,24,-1,-5,-1,-1,-5,6,edgeCount
976,50,157,0.15,6,,clustered,0.7;-0.3,-1,-1,6,-7,6,-1,-7,-1,-1,-7,2,edgeCount
975,50,193,0.15,8,,clustered,0.7;-0.3,41,16,4,37,32,-1,-5,36,30,32,8,edgeCount
973,50,182,0.15,9,,clustered,0.7;-0.3,20,2,2,18,0,2,0,4,2,2,0,edgeCount
972,50,185,0.15,8,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
971,50,188,0.15,8,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
970,50,171,0.15,5,,clustered,0.7;-0.3,10,5,4,6,8,22,18,26,26,22,2,edgeCount
969,50,193,0.15,8,,clustered,0.7;-0.3,28,22,2,26,0,4,2,6,4,4,0,edgeCount
967,50,196,0.15,7,,clustered,0.7;-0.3,12,40,2,10,0,2,0,14,2,12,0,edgeCount
966,50,198,0.15,10,,clustered,0.7;-0.3,19,31,3,16,0,5,2,5,7,2,0,edgeCount
965,50,173,0.15,4,,clustered,0.7;-0.3,29,19,3,26,0,11,8,7,7,4,0,edgeCount
964,50,166,0.15,4,,clustered,0.7;-0.3,12,8,3,9,0,-1,-4,-1,-1,-4,0,edgeCount
963,50,199,0.15,9,,clustered,0.7;-0.3,15,29,3,12,20,11,8,11,11,8,6,edgeCount
962,50,196,0.15,8,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
961,50,189,0.15,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
960,50,178,0.15,3,,clustered,0.7;-0.3,8,5,4,4,0,12,8,12,12,8,0,edgeCount
959,50,180,0.15,8,,clustered,0.7;-0.3,23,7,3,20,0,11,8,7,9,4,0,edgeCount
958,50,196,0.15,7,,clustered,0.7;-0.3,-1,-1,3,-4,16,-1,-4,18,14,15,4,edgeCount
956,50,165,0.15,7,,clustered,0.7;-0.3,-1,-1,4,-5,14,-1,-5,-1,-1,-5,4,edgeCount
954,50,179,0.15,7,,clustered,0.7;-0.3,30,30,2,28,0,4,2,6,4,4,0,edgeCount
953,50,178,0.15,5,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
952,50,155,0.15,2,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
948,50,190,0.15,4,,clustered,0.7;-0.3,2,12,2,0,0,2,0,4,2,2,0,edgeCount
946,50,181,0.15,4,,clustered,0.7;-0.3,3,24,3,0,0,5,2,5,5,2,0,edgeCount
945,50,183,0.15,5,,clustered,0.7;-0.3,-1,-1,4,-5,20,-1,-5,-1,-1,-5,6,edgeCount
944,50,172,0.15,2,,clustered,0.7;-0.3,-1,-1,5,-6,28,-1,-6,-1,-1,-6,14,edgeCount
943,50,194,0.15,8,,clustered,0.7;-0.3,17,22,3,14,30,9,6,9,9,6,6,edgeCount
942,50,168,0.15,6,,clustered,0.7;-0.3,36,34,4,32,0,-1,-5,-1,-1,-5,0,edgeCount
941,50,179,0.15,7,,clustered,0.7;-0.3,9,5,2,7,0,4,2,9,4,7,0,edgeCount
940,50,184,0.15,2,,clustered,0.7;-0.3,6,4,4,2,0,-1,-5,-1,-1,-5,0,edgeCount
939,50,159,0.15,5,,clustered,0.7;-0.3,22,3,3,19,0,3,0,7,7,4,0,edgeCount
938,50,161,0.15,6,,clustered,0.7;-0.3,10,30,4,6,26,16,12,16,34,12,8,edgeCount
936,50,184,0.15,5,,clustered,0.7;-0.3,4,20,4,0,0,16,12,16,16,12,0,edgeCount
935,50,195,0.15,8,,clustered,0.7;-0.3,13,6,3,10,0,-1,-4,-1,-1,-4,0,edgeCount
934,50,202,0.15,5,,clustered,0.7;-0.3,-1,-1,5,-6,24,-1,-6,-1,-1,-6,6,edgeCount
932,50,193,0.15,5,,clustered,0.7;-0.3,11,20,3,8,24,-1,-4,-1,-1,-4,6,edgeCount
930,50,214,0.15,4,,clustered,0.7;-0.3,11,12,3,8,16,10,7,10,16,7,4,edgeCount
929,50,173,0.15,4,,clustered,0.7;-0.3,6,6,5,1,8,-1,-6,15,13,10,2,edgeCount
928,50,162,0.15,11,,clustered,0.7;-0.3,25,3,3,22,0,7,4,5,9,2,0,edgeCount
927,50,187,0.15,7,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
926,50,174,0.15,8,,clustered,0.7;-0.3,40,26,4,36,12,-1,-5,25,19,21,4,edgeCount
925,50,193,0.15,9,,clustered,0.7;-0.3,10,50,4,6,18,16,12,16,16,12,4,edgeCount
924,50,187,0.15,8,,clustered,0.7;-0.3,3,5,3,0,0,9,6,9,9,6,0,edgeCount
922,50,177,0.15,3,,clustered,0.7;-0.3,32,16,4,28,30,-1,-5,-1,-1,-5,10,edgeCount
921,50,180,0.15,7,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
920,50,200,0.15,6,,clustered,0.7;-0.3,22,26,3,19,0,-1,-4,-1,-1,-4,0,edgeCount
919,50,172,0.15,4,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
918,50,207,0.15,7,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
917,50,185,0.15,8,,clustered,0.7;-0.3,12,16,3,9,0,7,4,5,5,2,0,edgeCount
916,50,185,0.15,7,,clustered,0.7;-0.3,29,3,3,26,0,3,0,3,3,0,0,edgeCount
915,50,221,0.15,7,,clustered,0.7;-0.3,-1,-1,3,-4,26,-1,-4,-1,-1,-4,6,edgeCount
914,50,198,0.15,6,,clustered,0.7;-0.3,15,13,3,12,28,-1,-4,18,28,15,8,edgeCount
913,50,195,0.15,6,,clustered,0.7;-0.3,8,7,3,5,16,10,7,10,10,7,4,edgeCount
912,50,172,0.15,7,,clustered,0.7;-0.3,3,39,3,0,0,15,12,15,17,12,0,edgeCount
911,50,192,0.15,7,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
910,50,182,0.15,9,,clustered,0.7;-0.3,18,13,3,15,0,20,17,24,24,21,0,edgeCount
909,50,180,0.15,8,,clustered,0.7;-0.3,26,16,3,23,6,-1,-4,-1,-1,-4,2,edgeCount
908,50,188,0.15,5,,clustered,0.7;-0.3,26,18,5,21,0,-1,-6,-1,-1,-6,0,edgeCount
907,50,179,0.15,7,,clustered,0.7;-0.3,11,15,3,8,0,7,4,7,7,4,0,edgeCount
906,50,203,0.15,4,,clustered,0.7;-0.3,6,12,4,2,30,-1,-5,-1,-1,-5,8,edgeCount
904,50,183,0.15,4,,clustered,0.7;-0.3,9,5,5,4,0,-1,-6,-1,-1,-6,0,edgeCount
903,50,177,0.15,5,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
902,50,193,0.15,4,,clustered,0.7;-0.3,-1,-1,4,-5,8,-1,-5,-1,-1,-5,2,edgeCount
901,50,162,0.15,6,,clustered,0.7;-0.3,5,4,3,2,14,9,6,9,9,6,4,edgeCount
900,50,198,0.15,5,,clustered,0.7;-0.3,24,12,4,20,24,-1,-5,-1,-1,-5,6,edgeCount
899,50,164,0.15,7,,clustered,0.7;-0.3,8,9,3,5,8,3,0,7,7,4,2,edgeCount
898,50,174,0.15,2,,clustered,0.7;-0.3,5,5,3,2,24,-1,-4,-1,-1,-4,12,edgeCount
897,50,181,0.15,5,,clustered,0.7;-0.3,15,3,3,12,0,3,0,3,3,0,0,edgeCount
896,50,194,0.15,8,,clustered,0.7;-0.3,23,8,3,20,0,5,2,9,9,6,0,edgeCount
895,50,184,0.15,6,,clustered,0.7;-0.3,33,3,3,30,0,-1,-4,-1,-1,-4,0,edgeCount
894,50,161,0.15,6,,clustered,0.7;-0.3,6,11,3,3,0,14,11,14,14,11,0,edgeCount
893,50,200,0.15,5,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
891,50,201,0.15,9,,clustered,0.7;-0.3,3,29,3,0,0,9,6,5,9,2,0,edgeCount
890,50,181,0.15,8,,clustered,0.7;-0.3,21,15,3,18,26,-1,-4,-1,-1,-4,6,edgeCount
889,50,171,0.15,7,,clustered,0.7;-0.3,21,15,4,17,0,29,25,29,29,25,0,edgeCount
888,50,193,0.15,6,,clustered,0.7;-0.3,23,35,3,20,0,-1,-4,-1,-1,-4,0,edgeCount
887,50,184,0.15,5,,clustered,0.7;-0.3,17,11,2,15,40,2,0,8,2,6,12,edgeCount
886,50,172,0.15,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
885,50,173,0.15,5,,clustered,0.7;-0.3,17,7,4,13,12,-1,-5,-1,-1,-5,4,edgeCount
884,50,196,0.15,5,,clustered,0.7;-0.3,4,6,2,2,0,2,0,10,2,8,0,edgeCount
