rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
992,50,186,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,18,-1,-5,-1,-1,-5,6,edgeCount
986,50,190,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
976,50,202,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,24,-1,-6,-1,-1,-6,6,edgeCount
967,50,179,0.15,3,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,16,-1,-6,-1,-1,-6,6,edgeCount
959,50,194,0.15,7,,clustered,0.8999999999999999;-0.3,13,3,3,10,10,-1,-4,-1,-1,-4,4,edgeCount
957,50,199,0.15,8,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
950,50,201,0.15,7,,clustered,0.8999999999999999;-0.3,5,15,3,2,0,-1,-4,-1,-1,-4,0,edgeCount
944,50,167,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
936,50,189,0.15,5,,clustered,0.8999999999999999;-0.3,16,4,4,12,8,-1,-5,-1,-1,-5,2,edgeCount
931,50,197,0.15,9,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
930,50,191,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,40,-1,-6,-1,-1,-6,10,edgeCount
927,50,180,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
925,50,203,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,40,-1,-7,-1,-1,-7,10,edgeCount
918,50,200,0.15,11,,clustered,0.8999999999999999;-0.3,12,20,4,8,12,14,10,16,16,12,4,edgeCount
915,50,210,0.15,10,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
905,50,172,0.15,2,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
892,50,164,0.15,5,,clustered,0.8999999999999999;-0.3,8,14,4,4,0,10,6,14,14,10,0,edgeCount
884,50,194,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
871,50,169,0.15,9,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
860,50,175,0.15,4,,clustered,0.8999999999999999;-0.3,6,24,4,2,0,-1,-5,-1,-1,-5,0,edgeCount
851,50,182,0.15,9,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,12,-1,-6,-1,-1,-6,4,edgeCount
844,50,180,0.15,4,,clustered,0.8999999999999999;-0.3,8,5,4,4,8,-1,-5,-1,-1,-5,2,edgeCount
840,50,190,0.15,5,,clustered,0.8999999999999999;-0.3,4,12,4,0,0,6,2,6,6,2,0,edgeCount
829,50,165,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
818,50,163,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,14,-1,-7,-1,-1,-7,4,edgeCount
816,50,191,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
813,50,173,0.15,6,,clustered,0.8999999999999999;-0.3,8,4,4,4,28,-1,-5,-1,-1,-5,10,edgeCount
793,50,180,0.15,3,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
787,50,181,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,30,-1,-6,-1,-1,-6,10,edgeCount
782,50,206,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,10,-1,-5,-1,-1,-5,4,edgeCount
780,50,175,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
776,50,173,0.15,3,,clustered,0.8999999999999999;-0.3,7,3,3,4,0,3,0,5,5,2,0,edgeCount
771,50,210,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,22,-1,-5,-1,-1,-5,6,edgeCount
770,50,189,0.15,9,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
769,50,185,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,36,-1,-5,8,12,4,14,edgeCount
766,50,180,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
756,50,182,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,20,-1,-5,-1,-1,-5,6,edgeCount
733,50,186,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
726,50,170,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
719,50,190,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,7,-8,36,-1,-8,-1,-1,-8,10,edgeCount
714,50,185,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,36,-1,-6,-1,-1,-6,12,edgeCount
707,50,181,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
706,50,175,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
696,50,183,0.15,6,,clustered,0.8999999999999999;-0.3,10,4,4,6,0,-1,-5,-1,-1,-5,0,edgeCount
694,50,190,0.15,6,,clustered,0.8999999999999999;-0.3,8,4,4,4,0,-1,-5,-1,-1,-5,0,edgeCount
691,50,177,0.15,4,,clustered,0.8999999999999999;-0.3,4,4,4,0,30,-1,-5,-1,-1,-5,8,edgeCount
685,50,188,0.15,3,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
684,50,195,0.15,2,,clustered,0.8999999999999999;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
680,50,203,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
679,50,177,0.15,2,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
678,50,173,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
676,50,199,0.15,3,,clustered,0.8999999999999999;-0.3,7,7,3,4,0,7,4,3,3,0,0,edgeCount
675,50,195,0.15,3,,clustered,0.8999999999999999;-0.3,15,9,3,12,0,3,0,7,7,4,0,edgeCount
674,50,173,0.15,5,,clustered,0.8999999999999999;-0.3,6,12,4,2,0,8,4,8,8,4,0,edgeCount
666,50,205,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
663,50,195,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
661,50,178,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
660,50,175,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
659,50,180,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
658,50,210,0.15,8,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,26,-1,-5,-1,-1,-5,6,edgeCount
656,50,185,0.15,3,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
654,50,169,0.15,8,,clustered,0.8999999999999999;-0.3,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,edgeCount
650,50,198,0.15,8,,clustered,0.8999999999999999;-0.3,12,6,4,8,0,-1,-5,-1,-1,-5,0,edgeCount
648,50,193,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
647,50,175,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,36,-1,-5,-1,-1,-5,12,edgeCount
633,50,183,0.15,4,,clustered,0.8999999999999999;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
631,50,188,0.15,7,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
626,50,193,0.15,3,,clustered,0.8999999999999999;-0.3,7,5,5,2,0,-1,-6,-1,-1,-6,0,edgeCount
624,50,188,0.15,5,,clustered,0.8999999999999999;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
623,50,193,0.15,8,,clustered,0.8999999999999999;-0.3,-1,-1,7,-8,24,-1,-8,-1,-1,-8,6,edgeCount
619,50,177,0.15,6,,clustered,0.8999999999999999;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
