rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
500,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
499,93,103,graphml/Oteglobe.graphml,2,8,random,-1,31,11,7,24,0,7,0,7,7,0,0,edgeCount
498,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
497,93,103,graphml/Oteglobe.graphml,2,8,random,-1,6,6,6,0,0,6,0,6,6,0,0,edgeCount
496,93,103,graphml/Oteglobe.graphml,1,0,random,-1,9,9,9,0,2,9,0,9,9,0,2,edgeCount
495,93,103,graphml/Oteglobe.graphml,2,8,random,-1,4,4,4,0,2,4,0,4,4,0,2,edgeCount
494,93,103,graphml/Oteglobe.graphml,3,16,random,-1,22,22,14,8,0,22,8,22,22,8,0,edgeCount
493,93,103,graphml/Oteglobe.graphml,2,8,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
492,93,103,graphml/Oteglobe.graphml,1,0,random,-1,10,11,10,0,4,10,0,10,11,0,4,edgeCount
491,93,103,graphml/Oteglobe.graphml,1,0,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
490,93,103,graphml/Oteglobe.graphml,1,0,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
489,93,103,graphml/Oteglobe.graphml,2,8,random,-1,16,24,11,5,6,12,1,16,12,5,6,edgeCount
488,93,103,graphml/Oteglobe.graphml,2,8,random,-1,16,15,8,8,6,8,0,8,11,0,6,edgeCount
487,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,9,8,0,2,8,0,8,9,0,2,edgeCount
486,93,103,graphml/Oteglobe.graphml,2,8,random,-1,16,12,10,6,0,-1,-11,-1,-1,-11,0,edgeCount
485,93,103,graphml/Oteglobe.graphml,1,0,random,-1,2,2,2,0,0,2,0,2,2,0,0,edgeCount
484,93,103,graphml/Oteglobe.graphml,1,0,random,-1,11,12,11,0,2,11,0,11,12,0,2,edgeCount
483,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
482,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,13,8,0,2,8,0,8,13,0,2,edgeCount
481,93,103,graphml/Oteglobe.graphml,2,8,random,-1,8,8,8,0,4,8,0,8,8,0,4,edgeCount
480,93,103,graphml/Oteglobe.graphml,1,0,random,-1,4,17,4,0,6,4,0,4,17,0,6,edgeCount
479,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,13,-14,4,-1,-14,-1,-1,-14,4,edgeCount
478,93,103,graphml/Oteglobe.graphml,1,0,random,-1,13,14,13,0,2,13,0,13,14,0,2,edgeCount
477,93,103,graphml/Oteglobe.graphml,1,0,random,-1,7,7,7,0,2,7,0,7,7,0,2,edgeCount
476,93,103,graphml/Oteglobe.graphml,2,8,random,-1,10,21,8,2,6,9,1,9,9,1,6,edgeCount
475,93,103,graphml/Oteglobe.graphml,2,8,random,-1,13,7,7,6,2,7,0,7,7,0,2,edgeCount
474,93,103,graphml/Oteglobe.graphml,1,0,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
473,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,14,-15,0,-1,-15,-1,-1,-15,0,edgeCount
472,93,103,graphml/Oteglobe.graphml,2,8,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
471,93,103,graphml/Oteglobe.graphml,2,8,random,-1,4,4,4,0,2,4,0,4,4,0,2,edgeCount
470,93,103,graphml/Oteglobe.graphml,2,8,random,-1,16,16,12,4,0,16,4,16,16,4,0,edgeCount
469,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
468,93,103,graphml/Oteglobe.graphml,1,0,random,-1,10,10,10,0,0,10,0,10,10,0,0,edgeCount
467,93,103,graphml/Oteglobe.graphml,2,8,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
466,93,103,graphml/Oteglobe.graphml,2,8,random,-1,11,29,8,3,0,29,21,29,29,21,0,edgeCount
465,93,103,graphml/Oteglobe.graphml,2,8,random,-1,4,4,4,0,0,6,2,4,4,0,0,edgeCount
464,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,6,6,0,2,6,0,6,6,0,2,edgeCount
463,93,103,graphml/Oteglobe.graphml,3,16,random,-1,-1,-1,5,-6,2,-1,-6,-1,-1,-6,2,edgeCount
462,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,9,-10,2,-1,-10,-1,-1,-10,2,edgeCount
461,93,103,graphml/Oteglobe.graphml,2,8,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
460,93,103,graphml/Oteglobe.graphml,2,8,random,-1,9,9,9,0,0,-1,-10,-1,-1,-10,0,edgeCount
459,93,103,graphml/Oteglobe.graphml,2,8,random,-1,7,15,3,4,2,3,0,3,3,0,2,edgeCount
458,93,103,graphml/Oteglobe.graphml,2,8,random,-1,2,2,2,0,0,4,2,2,2,0,0,edgeCount
457,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,14,-15,0,-1,-15,-1,-1,-15,0,edgeCount
456,93,103,graphml/Oteglobe.graphml,2,8,random,-1,26,16,8,18,0,8,0,8,8,0,0,edgeCount
455,93,103,graphml/Oteglobe.graphml,2,8,random,-1,5,31,3,2,0,3,0,3,3,0,0,edgeCount
454,93,103,graphml/Oteglobe.graphml,1,0,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
453,93,103,graphml/Oteglobe.graphml,2,8,random,-1,12,8,8,4,2,8,0,8,8,0,2,edgeCount
452,93,103,graphml/Oteglobe.graphml,1,0,random,-1,4,4,4,0,4,4,0,4,4,0,4,edgeCount
451,93,103,graphml/Oteglobe.graphml,1,0,random,-1,2,2,2,0,0,2,0,2,2,0,0,edgeCount
450,93,103,graphml/Oteglobe.graphml,1,0,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
449,93,103,graphml/Oteglobe.graphml,2,8,random,-1,7,7,7,0,0,7,0,7,7,0,0,edgeCount
448,93,103,graphml/Oteglobe.graphml,2,8,random,-1,4,4,2,2,0,2,0,2,2,0,0,edgeCount
447,93,103,graphml/Oteglobe.graphml,2,8,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
446,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,7,-8,4,-1,-8,-1,-1,-8,4,edgeCount
445,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
444,93,103,graphml/Oteglobe.graphml,1,0,random,-1,5,5,5,0,2,5,0,5,5,0,2,edgeCount
443,93,103,graphml/Oteglobe.graphml,1,0,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
442,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
441,93,103,graphml/Oteglobe.graphml,2,8,random,-1,20,20,15,5,0,20,5,20,20,5,0,edgeCount
440,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
439,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
438,93,103,graphml/Oteglobe.graphml,1,0,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
437,93,103,graphml/Oteglobe.graphml,2,8,random,-1,10,10,10,0,0,10,0,10,10,0,0,edgeCount
436,93,103,graphml/Oteglobe.graphml,1,0,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
435,93,103,graphml/Oteglobe.graphml,2,8,random,-1,8,7,5,3,0,7,2,7,7,2,0,edgeCount
434,93,103,graphml/Oteglobe.graphml,2,8,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
433,93,103,graphml/Oteglobe.graphml,2,8,random,-1,11,11,11,0,0,11,0,11,11,0,0,edgeCount
432,93,103,graphml/Oteglobe.graphml,2,8,random,-1,16,18,4,12,2,4,0,4,4,0,2,edgeCount
431,93,103,graphml/Oteglobe.graphml,2,8,random,-1,35,21,8,27,0,9,1,9,9,1,0,edgeCount
430,93,103,graphml/Oteglobe.graphml,2,8,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
429,93,103,graphml/Oteglobe.graphml,1,0,random,-1,5,8,5,0,2,5,0,5,8,0,2,edgeCount
428,93,103,graphml/Oteglobe.graphml,2,8,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
427,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,13,-14,0,-1,-14,-1,-1,-14,0,edgeCount
426,93,103,graphml/Oteglobe.graphml,1,0,random,-1,7,7,7,0,2,7,0,7,7,0,2,edgeCount
425,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,6,6,0,2,6,0,6,6,0,2,edgeCount
424,93,103,graphml/Oteglobe.graphml,1,0,random,-1,9,9,9,0,2,9,0,9,9,0,2,edgeCount
423,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,13,-14,0,-1,-14,-1,-1,-14,0,edgeCount
422,93,103,graphml/Oteglobe.graphml,1,0,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
421,93,103,graphml/Oteglobe.graphml,2,8,random,-1,2,2,2,0,2,2,0,2,2,0,2,edgeCount
420,93,103,graphml/Oteglobe.graphml,1,0,random,-1,9,18,9,0,2,9,0,9,18,0,2,edgeCount
419,93,103,graphml/Oteglobe.graphml,1,0,random,-1,3,16,3,0,6,3,0,3,16,0,6,edgeCount
418,93,103,graphml/Oteglobe.graphml,1,0,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
417,93,103,graphml/Oteglobe.graphml,2,8,random,-1,7,8,7,0,2,7,0,7,8,0,2,edgeCount
416,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
415,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,15,8,0,4,8,0,8,15,0,4,edgeCount
414,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,6,6,0,0,6,0,6,6,0,0,edgeCount
413,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
412,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,6,6,0,2,6,0,6,6,0,2,edgeCount
411,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,17,6,0,8,6,0,6,17,0,8,edgeCount
410,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,8,8,0,2,8,0,8,8,0,2,edgeCount
409,93,103,graphml/Oteglobe.graphml,1,0,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
408,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
407,93,103,graphml/Oteglobe.graphml,2,8,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
406,93,103,graphml/Oteglobe.graphml,2,8,random,-1,10,18,7,3,2,26,19,10,10,3,2,edgeCount
405,93,103,graphml/Oteglobe.graphml,2,8,random,-1,5,5,5,0,4,5,0,5,5,0,4,edgeCount
404,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,6,6,0,8,6,0,6,6,0,8,edgeCount
403,93,103,graphml/Oteglobe.graphml,2,8,random,-1,8,8,5,3,0,8,3,8,8,3,0,edgeCount
402,93,103,graphml/Oteglobe.graphml,2,8,random,-1,15,21,12,3,0,21,9,21,21,9,0,edgeCount
401,93,103,graphml/Oteglobe.graphml,2,8,random,-1,3,3,3,0,2,3,0,3,3,0,2,edgeCount
400,93,103,graphml/Oteglobe.graphml,2,8,random,-1,-1,-1,15,-16,2,-1,-16,-1,-1,-16,2,edgeCount
399,93,103,graphml/Oteglobe.graphml,1,0,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
398,93,103,graphml/Oteglobe.graphml,2,8,random,-1,2,2,2,0,0,2,0,2,2,0,0,edgeCount
397,93,103,graphml/Oteglobe.graphml,2,8,random,-1,7,6,4,3,6,6,2,7,6,3,6,edgeCount
396,93,103,graphml/Oteglobe.graphml,2,8,random,-1,7,7,7,0,0,-1,-8,-1,-1,-8,0,edgeCount
395,93,103,graphml/Oteglobe.graphml,1,0,random,-1,8,12,8,0,6,8,0,8,12,0,6,edgeCount
394,93,103,graphml/Oteglobe.graphml,1,0,random,-1,6,6,6,0,0,6,0,6,6,0,0,edgeCount
393,93,103,graphml/Oteglobe.graphml,1,0,random,-1,7,7,7,0,0,7,0,7,7,0,0,edgeCount
392,93,103,graphml/Oteglobe.graphml,2,8,random,-1,7,7,7,0,2,7,0,7,7,0,2,edgeCount
391,93,103,graphml/Oteglobe.graphml,2,8,random,-1,6,6,6,0,0,6,0,6,6,0,0,edgeCount
390,93,103,graphml/Oteglobe.graphml,3,16,random,-1,16,16,6,10,0,16,10,16,16,10,0,edgeCount
389,93,103,graphml/Oteglobe.graphml,3,16,random,-1,8,8,6,2,0,8,2,8,8,2,0,edgeCount
388,93,103,graphml/Oteglobe.graphml,2,8,random,-1,5,5,4,1,0,5,1,5,5,1,0,edgeCount
387,93,103,graphml/Oteglobe.graphml,2,8,random,-1,5,5,5,0,0,7,2,5,5,0,0,edgeCount
386,93,103,graphml/Oteglobe.graphml,2,8,random,-1,9,9,8,1,0,9,1,9,9,1,0,edgeCount
