rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,100,100,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
999,100,97,0.02,2,,clustered,0.5;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
998,100,90,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
997,100,88,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
996,100,104,0.02,2,,clustered,0.5;-0.3,9,8,7,2,0,11,4,11,11,4,0,edgeCount
995,100,97,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
994,100,108,0.02,1,,clustered,0.5;-0.3,5,5,5,0,4,5,0,5,5,0,4,edgeCount
993,100,113,0.02,2,,clustered,0.5;-0.3,11,11,5,6,0,11,6,11,11,6,0,edgeCount
992,100,100,0.02,1,,clustered,0.5;-0.3,13,13,9,4,2,-1,-10,13,13,4,2,edgeCount
991,100,111,0.02,2,,clustered,0.5;-0.3,18,6,6,12,4,-1,-7,19,11,13,4,edgeCount
990,100,94,0.02,1,,clustered,0.5;-0.3,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,edgeCount
989,100,86,0.02,1,,clustered,0.5;-0.3,7,23,7,0,2,7,0,7,23,0,2,edgeCount
988,100,101,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
987,100,97,0.02,2,,clustered,0.5;-0.3,21,31,9,12,4,-1,-10,21,31,12,4,edgeCount
986,100,98,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
985,100,98,0.02,3,,clustered,0.5;-0.3,30,6,6,24,0,6,0,6,6,0,0,edgeCount
984,100,94,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
983,100,80,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
982,100,98,0.02,3,,clustered,0.5;-0.3,7,39,6,1,0,15,9,15,15,9,0,edgeCount
981,100,107,0.02,2,,clustered,0.5;-0.3,5,4,4,1,0,4,0,4,4,0,0,edgeCount
980,100,116,0.02,2,,clustered,0.5;-0.3,15,35,5,10,4,5,0,5,5,0,4,edgeCount
979,100,95,0.02,3,,clustered,0.5;-0.3,16,18,6,10,0,24,18,24,24,18,0,edgeCount
978,100,93,0.02,2,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
977,100,92,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
976,100,120,0.02,1,,clustered,0.5;-0.3,15,15,7,8,2,-1,-8,15,15,8,2,edgeCount
975,100,104,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
974,100,107,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
973,100,94,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
972,100,111,0.02,1,,clustered,0.5;-0.3,8,9,6,2,8,-1,-7,8,9,2,8,edgeCount
971,100,91,0.02,1,,clustered,0.5;-0.3,-1,-1,10,-11,0,-1,-11,-1,-1,-11,0,edgeCount
970,100,95,0.02,1,,clustered,0.5;-0.3,9,25,9,0,4,-1,-10,9,25,0,4,edgeCount
969,100,91,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
