rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,474,0.1,9,160,random,-1,9,12,2,7,68,2,0,5,2,3,14,edgeCount
199,100,513,0.1,7,120,random,-1,5,4,2,3,50,2,0,3,2,1,12,edgeCount
198,100,506,0.1,7,120,random,-1,4,5,3,1,12,3,0,3,3,0,2,edgeCount
197,100,465,0.1,9,160,random,-1,3,4,3,0,56,3,0,7,7,4,12,edgeCount
196,100,479,0.1,10,180,random,-1,14,7,3,11,0,3,0,3,3,0,0,edgeCount
195,100,482,0.1,8,140,random,-1,7,16,3,4,30,7,4,7,7,4,6,edgeCount
194,100,501,0.1,9,160,random,-1,3,8,3,0,0,11,8,3,3,0,0,edgeCount
193,100,498,0.1,8,140,random,-1,26,5,4,22,20,10,6,24,24,20,4,edgeCount
192,100,494,0.1,10,180,random,-1,13,3,3,10,22,3,0,3,3,0,4,edgeCount
191,100,488,0.1,10,180,random,-1,11,2,2,9,38,2,0,3,2,1,8,edgeCount
190,100,517,0.1,10,180,random,-1,5,15,3,2,0,13,10,7,7,4,0,edgeCount
189,100,459,0.1,8,140,random,-1,4,7,3,1,30,3,0,3,3,0,6,edgeCount
188,100,496,0.1,5,80,random,-1,3,4,3,0,8,3,0,3,3,0,2,edgeCount
187,100,522,0.1,4,60,random,-1,7,7,4,3,0,8,4,8,8,4,0,edgeCount
186,100,526,0.1,9,160,random,-1,3,6,3,0,48,3,0,3,3,0,10,edgeCount
185,100,514,0.1,7,120,random,-1,3,5,2,1,0,2,0,7,2,5,0,edgeCount
184,100,475,0.1,6,100,random,-1,7,3,3,4,26,3,0,3,3,0,6,edgeCount
183,100,519,0.1,6,100,random,-1,5,9,3,2,8,3,0,3,3,0,2,edgeCount
182,100,494,0.1,9,160,random,-1,16,7,2,14,10,4,2,3,4,1,2,edgeCount
181,100,482,0.1,13,240,random,-1,11,8,2,9,0,4,2,8,4,6,0,edgeCount
180,100,511,0.1,9,160,random,-1,3,5,3,0,52,5,2,3,3,0,10,edgeCount
179,100,520,0.1,9,160,random,-1,4,8,4,0,0,16,12,16,12,12,0,edgeCount
178,100,488,0.1,8,140,random,-1,18,4,3,15,28,3,0,3,3,0,6,edgeCount
177,100,519,0.1,9,160,random,-1,7,4,3,4,0,28,25,21,7,18,0,edgeCount
176,100,516,0.1,6,100,random,-1,3,4,3,0,0,3,0,3,3,0,0,edgeCount
175,100,519,0.1,7,120,random,-1,8,3,3,5,28,3,0,3,3,0,6,edgeCount
174,100,557,0.1,9,160,random,-1,8,5,4,4,36,18,14,18,16,14,6,edgeCount
