rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,762,0.15,13,84,random,0.3,3,3,3,0,0,3,0,7,7,4,0,edgeCount
199,100,764,0.15,9,56,random,0.3,9,5,2,7,168,2,0,3,2,1,22,edgeCount
198,100,726,0.15,12,77,random,0.3,4,5,2,2,0,2,0,5,2,3,0,edgeCount
197,100,716,0.15,8,49,random,0.3,3,6,2,1,0,2,0,5,2,3,0,edgeCount
196,100,765,0.15,10,63,random,0.3,8,5,2,6,0,2,0,3,2,1,0,edgeCount
195,100,722,0.15,12,77,random,0.3,9,4,2,7,0,2,0,3,2,1,0,edgeCount
194,100,741,0.15,12,77,random,0.3,3,4,3,0,0,3,0,3,3,0,0,edgeCount
193,100,761,0.15,13,84,random,0.3,3,4,3,0,0,3,0,3,3,0,0,edgeCount
192,100,732,0.15,14,91,random,0.3,3,5,3,0,66,7,4,7,7,4,8,edgeCount
191,100,726,0.15,9,56,random,0.3,4,5,3,1,80,5,2,3,5,0,10,edgeCount
190,100,742,0.15,13,84,random,0.3,3,4,2,1,0,2,0,3,2,1,0,edgeCount
189,100,741,0.15,13,84,random,0.3,7,4,2,5,0,2,0,5,2,3,0,edgeCount
188,100,726,0.15,9,56,random,0.3,4,4,3,1,0,3,0,3,3,0,0,edgeCount
187,100,724,0.15,11,70,random,0.3,4,10,3,1,0,3,0,3,3,0,0,edgeCount
186,100,738,0.15,10,63,random,0.3,3,2,2,1,60,2,0,3,2,1,8,edgeCount
185,100,729,0.15,12,77,random,0.3,3,4,2,1,76,2,0,3,2,1,10,edgeCount
184,100,746,0.15,16,105,random,0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
183,100,730,0.15,17,112,random,0.3,3,2,2,1,102,2,0,3,2,1,16,edgeCount
182,100,710,0.15,13,84,random,0.3,3,2,2,1,0,4,2,3,4,1,0,edgeCount
181,100,718,0.15,10,63,random,0.3,7,3,3,4,0,5,2,3,5,0,0,edgeCount
180,100,748,0.15,13,84,random,0.3,3,7,2,1,0,2,0,3,2,1,0,edgeCount
179,100,734,0.15,12,77,random,0.3,4,3,2,2,46,2,0,3,2,1,6,edgeCount
178,100,706,0.15,12,77,random,0.3,3,8,3,0,0,3,0,3,3,0,0,edgeCount
177,100,764,0.15,14,91,random,0.3,3,4,3,0,46,3,0,3,3,0,6,edgeCount
176,100,747,0.15,12,77,random,0.3,3,3,2,1,50,2,0,3,2,1,6,edgeCount
175,100,727,0.15,13,84,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
174,100,761,0.15,11,70,random,0.3,3,3,2,1,116,2,0,3,2,1,16,edgeCount
173,100,714,0.15,13,84,random,0.3,3,5,3,0,32,3,0,3,3,0,4,edgeCount
172,100,744,0.15,13,84,random,0.3,3,5,2,1,56,2,0,7,2,5,8,edgeCount
171,100,738,0.15,16,105,random,0.3,3,2,2,1,32,2,0,2,2,0,4,edgeCount
170,100,748,0.15,11,70,random,0.3,4,4,3,1,62,5,2,3,5,0,8,edgeCount
169,100,764,0.15,12,77,random,0.3,4,4,2,2,12,2,0,2,2,0,2,edgeCount
168,100,709,0.15,9,56,random,0.3,4,5,2,2,32,2,0,2,2,0,4,edgeCount
167,100,751,0.15,14,91,random,0.3,3,5,2,1,0,2,0,5,2,3,0,edgeCount
166,100,730,0.15,11,70,random,0.3,3,6,2,1,0,4,2,5,4,3,0,edgeCount
165,100,725,0.15,10,63,random,0.3,4,3,2,2,0,2,0,3,2,1,0,edgeCount
164,100,730,0.15,11,70,random,0.3,14,2,2,12,0,2,0,9,2,7,0,edgeCount
163,100,733,0.15,14,91,random,0.3,3,6,3,0,0,3,0,3,3,0,0,edgeCount
162,100,766,0.15,16,105,random,0.3,7,2,2,5,0,2,0,5,2,3,0,edgeCount
161,100,734,0.15,10,63,random,0.3,3,2,2,1,168,2,0,3,2,1,24,edgeCount
160,100,729,0.15,13,84,random,0.3,3,2,2,1,28,2,0,2,2,0,4,edgeCount
159,100,693,0.15,12,77,random,0.3,3,3,2,1,0,2,0,7,2,5,0,edgeCount
158,100,765,0.15,10,63,random,0.3,4,2,2,2,90,2,0,3,2,1,12,edgeCount
157,100,785,0.15,11,70,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
156,100,785,0.15,12,77,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
155,100,758,0.15,8,49,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
154,100,772,0.15,9,56,random,0.3,6,3,2,4,0,2,0,3,2,1,0,edgeCount
153,100,759,0.15,12,77,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
152,100,737,0.15,12,77,random,0.3,3,11,2,1,28,2,0,3,2,1,4,edgeCount
151,100,741,0.15,14,91,random,0.3,3,5,3,0,0,3,0,3,3,0,0,edgeCount
150,100,747,0.15,4,21,random,0.3,3,4,3,0,104,3,0,3,3,0,26,edgeCount
149,100,761,0.15,11,70,random,0.3,10,2,2,8,0,2,0,10,2,8,0,edgeCount
148,100,731,0.15,12,77,random,0.3,3,5,2,1,42,2,0,2,2,0,6,edgeCount
147,100,752,0.15,12,77,random,0.3,3,4,3,0,78,3,0,3,3,0,10,edgeCount
146,100,757,0.15,15,98,random,0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
145,100,739,0.15,10,63,random,0.3,4,2,2,2,106,2,0,2,2,0,14,edgeCount
144,100,741,0.15,11,70,random,0.3,4,7,2,2,54,2,0,3,2,1,8,edgeCount
143,100,724,0.15,11,70,random,0.3,3,2,2,1,62,2,0,7,2,5,8,edgeCount
142,100,736,0.15,15,98,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
141,100,693,0.15,14,91,random,0.3,3,5,2,1,14,2,0,3,2,1,2,edgeCount
140,100,762,0.15,14,91,random,0.3,3,2,2,1,0,2,0,2,2,0,0,edgeCount
139,100,744,0.15,17,112,random,0.3,7,2,2,5,122,2,0,3,2,1,16,edgeCount
138,100,701,0.15,12,77,random,0.3,3,5,2,1,44,2,0,3,2,1,6,edgeCount
137,100,766,0.15,18,119,random,0.3,3,8,3,0,34,7,4,3,5,0,4,edgeCount
136,100,757,0.15,10,63,random,0.3,4,3,2,2,0,2,0,3,2,1,0,edgeCount
135,100,733,0.15,15,98,random,0.3,3,5,2,1,18,4,2,5,4,3,2,edgeCount
134,100,723,0.15,9,56,random,0.3,3,2,2,1,80,2,0,3,2,1,10,edgeCount
133,100,752,0.15,15,98,random,0.3,3,2,2,1,46,2,0,2,2,0,6,edgeCount
132,100,741,0.15,13,84,random,0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
131,100,731,0.15,14,91,random,0.3,3,3,2,1,74,2,0,3,2,1,10,edgeCount
130,100,682,0.15,14,91,random,0.3,9,6,2,7,0,2,0,3,2,1,0,edgeCount
129,100,740,0.15,15,98,random,0.3,3,3,2,1,0,4,2,3,4,1,0,edgeCount
128,100,723,0.15,14,91,random,0.3,3,6,3,0,0,7,4,3,3,0,0,edgeCount
127,100,743,0.15,13,84,random,0.3,3,8,2,1,14,2,0,3,2,1,2,edgeCount
126,100,748,0.15,14,91,random,0.3,7,4,3,4,0,3,0,3,3,0,0,edgeCount
125,100,738,0.15,12,77,random,0.3,3,3,2,1,32,2,0,3,2,1,4,edgeCount
124,100,747,0.15,13,84,random,0.3,8,6,2,6,0,2,0,2,2,0,0,edgeCount
123,100,720,0.15,10,63,random,0.3,4,3,2,2,72,2,0,3,2,1,10,edgeCount
122,100,753,0.15,13,84,random,0.3,3,5,2,1,0,2,0,5,2,3,0,edgeCount
121,100,719,0.15,11,70,random,0.3,4,4,2,2,32,2,0,9,2,7,4,edgeCount
120,100,708,0.15,14,91,random,0.3,12,8,2,10,0,2,0,3,2,1,0,edgeCount
119,100,743,0.15,11,70,random,0.3,9,4,2,7,150,2,0,2,2,0,22,edgeCount
118,100,716,0.15,14,91,random,0.3,3,5,3,0,0,7,4,7,7,4,0,edgeCount
117,100,758,0.15,15,98,random,0.3,16,2,2,14,96,2,0,3,2,1,12,edgeCount
116,100,762,0.15,16,105,random,0.3,7,3,2,5,18,2,0,5,2,3,2,edgeCount
115,100,757,0.15,17,112,random,0.3,10,3,3,7,0,5,2,3,5,0,0,edgeCount
114,100,732,0.15,12,77,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
113,100,744,0.15,12,77,random,0.3,3,4,2,1,0,2,0,3,2,1,0,edgeCount
112,100,719,0.15,13,84,random,0.3,3,5,3,0,0,5,2,5,5,2,0,edgeCount
111,100,734,0.15,11,70,random,0.3,3,5,2,1,174,2,0,3,2,1,22,edgeCount
110,100,745,0.15,13,84,random,0.3,3,7,2,1,0,2,0,7,2,5,0,edgeCount
109,100,727,0.15,12,77,random,0.3,10,5,3,7,16,3,0,3,3,0,2,edgeCount
108,100,729,0.15,13,84,random,0.3,3,6,3,0,0,3,0,7,7,4,0,edgeCount
107,100,741,0.15,14,91,random,0.3,7,3,2,5,64,2,0,7,2,5,8,edgeCount
106,100,744,0.15,15,98,random,0.3,3,2,2,1,92,2,0,3,2,1,12,edgeCount
105,100,728,0.15,13,84,random,0.3,3,5,2,1,38,2,0,3,2,1,6,edgeCount
104,100,714,0.15,12,77,random,0.3,4,5,2,2,84,2,0,3,2,1,12,edgeCount
103,100,746,0.15,17,112,random,0.3,8,4,3,5,0,3,0,7,7,4,0,edgeCount
102,100,725,0.15,13,84,random,0.3,3,2,2,1,0,2,0,5,2,3,0,edgeCount
101,100,728,0.15,13,84,random,0.3,3,2,2,1,80,2,0,3,2,1,10,edgeCount
100,100,746,0.15,9,56,random,0.3,4,2,2,2,118,4,2,3,4,1,16,edgeCount
99,100,735,0.15,10,63,random,0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
98,100,735,0.15,15,98,random,0.3,7,3,2,5,0,4,2,3,4,1,0,edgeCount
97,100,728,0.15,13,84,random,0.3,3,7,2,1,52,2,0,2,2,0,6,edgeCount
96,100,760,0.15,13,84,random,0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
95,100,703,0.15,12,77,random,0.3,8,3,3,5,62,3,0,3,3,0,8,edgeCount
94,100,735,0.15,12,77,random,0.3,4,2,2,2,92,2,0,3,2,1,12,edgeCount
93,100,748,0.15,15,98,random,0.3,3,5,2,1,86,2,0,3,2,1,12,edgeCount
92,100,781,0.15,15,98,random,0.3,3,3,2,1,0,4,2,5,4,3,0,edgeCount
91,100,752,0.15,12,77,random,0.3,3,3,3,0,0,9,6,9,9,6,0,edgeCount
90,100,710,0.15,10,63,random,0.3,3,5,2,1,0,2,0,3,2,1,0,edgeCount
89,100,734,0.15,12,77,random,0.3,3,6,2,1,126,2,0,2,2,0,16,edgeCount
88,100,742,0.15,9,56,random,0.3,4,2,2,2,0,2,0,3,2,1,0,edgeCount
87,100,762,0.15,14,91,random,0.3,6,2,2,4,94,2,0,3,2,1,12,edgeCount
86,100,771,0.15,16,105,random,0.3,3,3,2,1,0,3,1,3,3,1,0,edgeCount
85,100,751,0.15,14,91,random,0.3,3,4,2,1,32,2,0,5,2,3,4,edgeCount
84,100,757,0.15,14,91,random,0.3,3,4,2,1,0,2,0,7,2,5,0,edgeCount
83,100,717,0.15,16,105,random,0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
82,100,723,0.15,12,77,random,0.3,3,4,2,1,32,2,0,11,2,9,4,edgeCount
81,100,819,0.15,13,84,random,0.3,6,2,2,4,0,2,0,2,2,0,0,edgeCount
80,100,756,0.15,11,70,random,0.3,4,2,2,2,14,2,0,3,2,1,2,edgeCount
79,100,756,0.15,10,63,random,0.3,4,2,2,2,80,2,0,3,2,1,12,edgeCount
78,100,774,0.15,14,91,random,0.3,3,5,2,1,0,4,2,7,4,5,0,edgeCount
77,100,765,0.15,17,112,random,0.3,3,3,2,1,80,6,4,3,6,1,10,edgeCount
76,100,741,0.15,12,77,random,0.3,3,2,2,1,0,2,0,5,2,3,0,edgeCount
75,100,759,0.15,15,98,random,0.3,3,7,2,1,0,2,0,9,2,7,0,edgeCount
74,100,744,0.15,13,84,random,0.3,3,4,2,1,82,2,0,3,2,1,10,edgeCount
