rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,50,164,0.15,4,,clustered,0.7;-0.3,14,4,4,10,6,10,6,10,10,6,2,edgeCount
999,50,166,0.15,5,,clustered,0.7;-0.3,23,3,3,20,0,3,0,3,3,0,0,edgeCount
998,50,205,0.15,5,,clustered,0.7;-0.3,39,37,3,36,0,7,4,5,7,2,0,edgeCount
997,50,184,0.15,5,,clustered,0.7;-0.3,16,6,4,12,24,-1,-5,-1,-1,-5,6,edgeCount
996,50,185,0.15,5,,clustered,0.7;-0.3,22,16,4,18,32,-1,-5,-1,-1,-5,8,edgeCount
995,50,186,0.15,6,,clustered,0.7;-0.3,41,23,4,37,0,-1,-5,-1,-1,-5,0,edgeCount
994,50,175,0.15,1,,clustered,0.7;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,10,edgeCount
993,50,191,0.15,6,,clustered,0.7;-0.3,3,35,2,1,52,2,0,4,2,2,16,edgeCount
992,50,212,0.15,9,,clustered,0.7;-0.3,39,9,4,35,10,-1,-5,-1,-1,-5,2,edgeCount
991,50,195,0.15,3,,clustered,0.7;-0.3,9,3,3,6,0,3,0,3,3,0,0,edgeCount
990,50,183,0.15,7,,clustered,0.7;-0.3,29,19,3,26,8,3,0,3,3,0,2,edgeCount
989,50,202,0.15,6,,clustered,0.7;-0.3,4,12,4,0,0,12,8,12,12,8,0,edgeCount
988,50,174,0.15,6,,clustered,0.7;-0.3,21,37,4,17,24,-1,-5,-1,-1,-5,8,edgeCount
987,50,171,0.15,9,,clustered,0.7;-0.3,10,6,4,6,8,28,24,28,18,24,2,edgeCount
986,50,186,0.15,7,,clustered,0.7;-0.3,3,21,3,0,0,9,6,7,9,4,0,edgeCount
985,50,169,0.15,8,,clustered,0.7;-0.3,18,32,4,14,6,-1,-5,-1,-1,-5,2,edgeCount
984,50,174,0.15,7,,clustered,0.7;-0.3,46,2,2,44,10,2,0,2,2,0,4,edgeCount
983,50,208,0.15,6,,clustered,0.7;-0.3,-1,-1,-1,0,28,-1,0,-1,-1,0,6,edgeCount
982,50,184,0.15,6,,clustered,0.7;-0.3,22,2,2,20,0,2,0,2,2,0,0,edgeCount
981,50,163,0.15,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
980,50,192,0.15,5,,clustered,0.7;-0.3,3,5,3,0,0,5,2,5,5,2,0,edgeCount
979,50,189,0.15,6,,clustered,0.7;-0.3,11,16,3,8,0,-1,-4,-1,-1,-4,0,edgeCount
978,50,198,0.15,10,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
977,50,173,0.15,7,,clustered,0.7;-0.3,14,30,2,12,0,2,0,4,2,2,0,edgeCount
976,50,185,0.15,3,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
975,50,188,0.15,6,,clustered,0.7;-0.3,9,10,3,6,0,13,10,13,13,10,0,edgeCount
